value,gnn_layers,batch_size,dropout,lr,epoch
68.09,1,16,0.6,0.0003,60
67.95,1,16,0.6,0.0004,50
67.59,1,16,0.6,0.0005,50
67.53,1,16,0.6,0.0006,50
67.97,1,16,0.6,0.0007,50
67.71,1,16,0.6,0.0008,40
67.72,1,16,0.6,0.0009,40
68.63,1,16,0.7,0.0001,100
67.53,1,16,0.7,0.0002,70
67.75,1,16,0.7,0.0003,60
68.32,1,16,0.7,0.0004,50
67.95,1,16,0.7,0.0005,50
68.32,1,16,0.7,0.0006,50
68.42,1,16,0.7,0.0007,50
67.84,1,16,0.7,0.0008,40
67.86,1,16,0.7,0.0009,40
67.7,1,16,0.8,0.0001,100
67.52,1,16,0.8,0.0002,70
67.72,1,16,0.8,0.0003,60
67.89,1,16,0.8,0.0004,50
68.08,1,16,0.8,0.0005,50
67.23,1,16,0.8,0.0006,50
68.26,1,16,0.8,0.0007,50
67.95,1,16,0.8,0.0008,40
67.99,1,16,0.8,0.0009,40
67.1,1,16,0.9,0.0001,100
67.11,1,16,0.9,0.0002,70
67.97,1,16,0.9,0.0003,60
67.34,1,16,0.9,0.0004,50
67.28,1,16,0.9,0.0005,50
67.58,1,16,0.9,0.0006,50
67.76,1,16,0.9,0.0007,50
67.25,1,16,0.9,0.0008,40
67.84,1,16,0.9,0.0009,40
68.11,1,32,0.0,0.0001,100
68.04,1,32,0.0,0.0002,70
68.51,1,32,0.0,0.0003,60
67.81,1,32,0.0,0.0004,50
67.85,1,32,0.0,0.0005,50
68.08,1,32,0.0,0.0006,50
67.25,1,32,0.0,0.0007,50
67.5,1,32,0.0,0.0008,40
67.57,1,32,0.0,0.0009,40
68.37,1,32,0.1,0.0001,100
68.08,1,32,0.1,0.0002,70
67.35,1,32,0.1,0.0003,60
67.92,1,32,0.1,0.0004,50
67.59,1,32,0.1,0.0005,50
67.68,1,32,0.1,0.0006,50
67.78,1,32,0.1,0.0007,50
67.67,1,32,0.1,0.0008,40
67.63,1,32,0.1,0.0009,40
68.38,1,32,0.2,0.0001,100
68.41,1,32,0.2,0.0002,70
67.51,1,32,0.2,0.0003,60
67.84,1,32,0.2,0.0004,50
68.41,1,32,0.2,0.0005,50
68.41,1,32,0.2,0.0006,50
68.43,1,32,0.2,0.0007,50
67.44,1,32,0.2,0.0008,40
68.19,1,32,0.2,0.0009,40
68.67,1,32,0.3,0.0001,100
68.41,1,32,0.3,0.0002,70
68.41,1,32,0.3,0.0003,60
68.11,1,32,0.3,0.0004,50
67.65,1,32,0.3,0.0005,50
68.51,1,32,0.3,0.0006,50
68.54,1,32,0.3,0.0007,50
67.28,1,32,0.3,0.0008,40
67.92,1,32,0.3,0.0009,40
68.21,1,32,0.4,0.0001,100
68.24,1,32,0.4,0.0002,70
67.86,1,32,0.4,0.0003,60
67.91,1,32,0.4,0.0004,50
68.11,1,32,0.4,0.0005,50
67.68,1,32,0.4,0.0006,50
68.16,1,32,0.4,0.0007,50
68.01,1,32,0.4,0.0008,40
68.11,1,32,0.4,0.0009,40
68.27,1,32,0.5,0.0001,100
68.24,1,32,0.5,0.0002,70
68.12,1,32,0.5,0.0003,60
67.44,1,32,0.5,0.0004,50
67.95,1,32,0.5,0.0005,50
68.02,1,32,0.5,0.0006,50
67.93,1,32,0.5,0.0007,50
67.16,1,32,0.5,0.0008,40
67.44,1,32,0.5,0.0009,40
68.42,1,32,0.6,0.0001,100
68.17,1,32,0.6,0.0002,70
68.01,1,32,0.6,0.0003,60
67.74,1,32,0.6,0.0004,50
67.79,1,32,0.6,0.0005,50
68.42,1,32,0.6,0.0006,50
67.87,1,32,0.6,0.0007,50
67.87,1,32,0.6,0.0008,40
66.94,1,32,0.6,0.0009,40
68.53,1,32,0.7,0.0001,100
67.99,1,32,0.7,0.0002,70
67.46,1,32,0.7,0.0003,60
68.26,1,32,0.7,0.0004,50
67.97,1,32,0.7,0.0005,50
68.02,1,32,0.7,0.0006,50
68.2,1,32,0.7,0.0007,50
67.38,1,32,0.7,0.0008,40
67.12,1,32,0.7,0.0009,40
68.06,1,32,0.8,0.0001,100
67.88,1,32,0.8,0.0002,70
68.4,1,32,0.8,0.0003,60
67.56,1,32,0.8,0.0004,50
68.16,1,32,0.8,0.0005,50
67.81,1,32,0.8,0.0006,50
67.92,1,32,0.8,0.0007,50
67.89,1,32,0.8,0.0008,40
67.81,1,32,0.8,0.0009,40
66.81,1,32,0.9,0.0001,100
68.36,1,32,0.9,0.0002,70
67.25,1,32,0.9,0.0003,60
67.26,1,32,0.9,0.0004,50
67.63,1,32,0.9,0.0005,50
67.04,1,32,0.9,0.0006,50
67.58,1,32,0.9,0.0007,50
66.52,1,32,0.9,0.0008,40
67.15,1,32,0.9,0.0009,40
