value,gnn_layers,batch_size,dropout,lr,epoch
39.31,1,32,0.4,0.0007,50
38.76,1,32,0.4,0.0008,40
38.87,1,32,0.4,0.0009,40
38.65,1,32,0.4,0.001,30
38.86,1,32,0.5,0.0001,100
39.13,1,32,0.5,0.0002,70
38.61,1,32,0.5,0.0003,60
38.52,1,32,0.5,0.0004,50
39.46,1,32,0.5,0.0005,50
38.72,1,32,0.5,0.0006,50
38.93,1,32,0.5,0.0007,50
39.37,1,32,0.5,0.0008,40
39.17,1,32,0.5,0.0009,40
38.98,1,32,0.5,0.001,30
39.19,1,32,0.6,0.0001,100
39.24,1,32,0.6,0.0002,70
38.74,1,32,0.6,0.0003,60
38.43,1,32,0.6,0.0004,50
38.88,1,32,0.6,0.0005,50
38.84,1,32,0.6,0.0006,50
38.75,1,32,0.6,0.0007,50
38.62,1,32,0.6,0.0008,40
38.91,1,32,0.6,0.0009,40
39.03,1,32,0.6,0.001,30
39.09,1,32,0.7,0.0001,100
39.73,1,32,0.7,0.0002,70
39.43,1,32,0.7,0.0003,60
38.81,1,32,0.7,0.0004,50
39.25,1,32,0.7,0.0005,50
38.42,1,32,0.7,0.0006,50
39.0,1,32,0.7,0.0007,50
38.85,1,32,0.7,0.0008,40
38.87,1,32,0.7,0.0009,40
38.26,1,32,0.7,0.001,30
39.39,1,32,0.8,0.0001,100
38.86,1,32,0.8,0.0002,70
39.19,1,32,0.8,0.0003,60
38.81,1,32,0.8,0.0004,50
38.73,1,32,0.8,0.0005,50
38.63,1,32,0.8,0.0006,50
39.24,1,32,0.8,0.0007,50
38.87,1,32,0.8,0.0008,40
39.1,1,32,0.8,0.0009,40
38.84,1,32,0.8,0.001,30
38.7,1,32,0.9,0.0001,100
38.78,1,32,0.9,0.0002,70
38.83,1,32,0.9,0.0003,60
39.3,1,32,0.9,0.0004,50
38.4,1,32,0.9,0.0005,50
38.33,1,32,0.9,0.0006,50
38.38,1,32,0.9,0.0007,50
37.9,1,32,0.9,0.0008,40
38.72,1,32,0.9,0.0009,40
38.06,1,32,0.9,0.001,30
39.09,1,16,0.0,0.0001,100
38.78,1,16,0.0,0.0002,70
38.93,1,16,0.0,0.0003,60
39.22,1,16,0.0,0.0004,50
39.22,1,16,0.0,0.0005,50
39.36,1,16,0.0,0.0006,50
39.18,1,16,0.0,0.0007,50
38.64,1,16,0.0,0.0008,40
39.67,1,16,0.0,0.0009,40
38.88,1,16,0.0,0.001,30
39.19,1,16,0.1,0.0001,100
39.0,1,16,0.1,0.0002,70
38.89,1,16,0.1,0.0003,60
38.96,1,16,0.1,0.0004,50
39.09,1,16,0.1,0.0005,50
39.31,1,16,0.1,0.0006,50
39.42,1,16,0.1,0.0007,50
38.74,1,16,0.1,0.0008,40
38.77,1,16,0.1,0.0009,40
38.62,1,16,0.1,0.001,30
39.39,1,16,0.2,0.0001,100
39.19,1,16,0.2,0.0002,70
38.67,1,16,0.2,0.0003,60
39.46,1,16,0.2,0.0004,50
39.22,1,16,0.2,0.0005,50
38.89,1,16,0.2,0.0006,50
39.47,1,16,0.2,0.0007,50
39.04,1,16,0.2,0.0008,40
39.45,1,16,0.2,0.0009,40
38.65,1,16,0.2,0.001,30
38.66,1,16,0.3,0.0001,100
38.95,1,16,0.3,0.0002,70
38.79,1,16,0.3,0.0003,60
39.08,1,16,0.3,0.0004,50
39.32,1,16,0.3,0.0005,50
39.2,1,16,0.3,0.0006,50
39.05,1,16,0.3,0.0007,50
38.66,1,16,0.3,0.0008,40
