value,gnn_layers,batch_size,dropout,lr,epoch
58.94,1,16,0.0,5e-05,40
58.75,1,16,0.0,6e-05,30
58.93,1,16,0.0,7e-05,30
58.97,1,16,0.1,8e-06,100
59.37,1,16,0.1,9e-06,80
59.12,1,16,0.1,1e-05,70
59.16,1,16,0.1,2e-05,50
59.5,1,16,0.1,3e-05,50
59.44,1,16,0.1,4e-05,50
58.99,1,16,0.1,5e-05,40
59.02,1,16,0.1,6e-05,30
58.83,1,16,0.1,7e-05,30
59.04,1,16,0.2,8e-06,100
59.1,1,16,0.2,9e-06,80
59.32,1,16,0.2,1e-05,70
59.13,1,16,0.2,2e-05,50
59.4,1,16,0.2,3e-05,50
59.35,1,16,0.2,4e-05,50
59.05,1,16,0.2,5e-05,40
59.27,1,16,0.2,6e-05,30
58.92,1,16,0.2,7e-05,30
59.15,1,16,0.3,8e-06,100
58.84,1,16,0.3,9e-06,80
59.02,1,16,0.3,1e-05,70
59.0,1,16,0.3,2e-05,50
59.19,1,16,0.3,3e-05,50
59.63,1,16,0.3,4e-05,50
59.14,1,16,0.3,5e-05,40
59.08,1,16,0.3,6e-05,30
59.12,1,16,0.3,7e-05,30
58.81,1,16,0.4,8e-06,100
58.93,1,16,0.4,9e-06,80
58.95,1,16,0.4,1e-05,70
58.96,1,16,0.4,2e-05,50
59.09,1,16,0.4,3e-05,50
59.34,1,16,0.4,4e-05,50
59.27,1,16,0.4,5e-05,40
59.29,1,16,0.4,6e-05,30
58.97,1,16,0.4,7e-05,30
58.83,1,16,0.5,8e-06,100
58.91,1,16,0.5,9e-06,80
58.76,1,16,0.5,1e-05,70
59.04,1,16,0.5,2e-05,50
59.21,1,16,0.5,3e-05,50
59.26,1,16,0.5,4e-05,50
59.29,1,16,0.5,5e-05,40
59.08,1,16,0.5,6e-05,30
58.97,1,16,0.5,7e-05,30
59.16,1,8,0.0,8e-06,100
59.05,1,8,0.0,9e-06,80
59.12,1,8,0.0,1e-05,70
59.03,1,8,0.0,2e-05,50
58.81,1,8,0.0,3e-05,50
58.9,1,8,0.0,4e-05,50
58.92,1,8,0.0,5e-05,40
59.0,1,8,0.0,6e-05,30
59.01,1,8,0.0,7e-05,30
59.15,1,8,0.1,8e-06,100
59.1,1,8,0.1,9e-06,80
58.97,1,8,0.1,1e-05,70
58.96,1,8,0.1,2e-05,50
58.84,1,8,0.1,3e-05,50
58.82,1,8,0.1,4e-05,50
58.95,1,8,0.1,5e-05,40
58.88,1,8,0.1,6e-05,30
59.16,1,8,0.1,7e-05,30
59.13,1,8,0.2,8e-06,100
59.06,1,8,0.2,9e-06,80
59.17,1,8,0.2,1e-05,70
59.05,1,8,0.2,2e-05,50
58.93,1,8,0.2,3e-05,50
58.92,1,8,0.2,4e-05,50
59.01,1,8,0.2,5e-05,40
59.03,1,8,0.2,6e-05,30
58.71,1,8,0.2,7e-05,30
59.21,1,8,0.3,8e-06,100
59.11,1,8,0.3,9e-06,80
59.22,1,8,0.3,1e-05,70
59.19,1,8,0.3,2e-05,50
58.86,1,8,0.3,3e-05,50
58.88,1,8,0.3,4e-05,50
58.91,1,8,0.3,5e-05,40
58.79,1,8,0.3,6e-05,30
58.79,1,8,0.3,7e-05,30
59.2,1,8,0.4,8e-06,100
59.07,1,8,0.4,9e-06,80
59.18,1,8,0.4,1e-05,70
58.9,1,8,0.4,2e-05,50
59.01,1,8,0.4,3e-05,50
58.89,1,8,0.4,4e-05,50
58.84,1,8,0.4,5e-05,40
59.33,1,8,0.4,6e-05,30
59.23,1,8,0.4,7e-05,30
59.1,1,8,0.5,8e-06,100
59.07,1,8,0.5,9e-06,80
59.11,1,8,0.5,1e-05,70
59.14,1,8,0.5,2e-05,50
59.31,1,8,0.5,3e-05,50
58.92,1,8,0.5,4e-05,50
59.05,1,8,0.5,5e-05,40
59.03,1,8,0.5,6e-05,30
59.05,1,8,0.5,7e-05,30
