value,gnn_layers,batch_size,dropout,lr,epoch
68.16,1,16,0.6,0.0003,60
68.42,1,16,0.6,0.0004,50
67.46,1,16,0.6,0.0005,50
68.33,1,16,0.6,0.0006,50
67.93,1,16,0.6,0.0007,50
67.51,1,16,0.6,0.0008,40
67.89,1,16,0.6,0.0009,40
68.23,1,16,0.7,0.0001,100
67.92,1,16,0.7,0.0002,70
67.66,1,16,0.7,0.0003,60
67.33,1,16,0.7,0.0004,50
67.52,1,16,0.7,0.0005,50
67.54,1,16,0.7,0.0006,50
67.98,1,16,0.7,0.0007,50
68.41,1,16,0.7,0.0008,40
68.36,1,16,0.7,0.0009,40
68.04,1,16,0.8,0.0001,100
67.84,1,16,0.8,0.0002,70
67.66,1,16,0.8,0.0003,60
67.7,1,16,0.8,0.0004,50
68.18,1,16,0.8,0.0005,50
68.1,1,16,0.8,0.0006,50
67.46,1,16,0.8,0.0007,50
67.52,1,16,0.8,0.0008,40
67.38,1,16,0.8,0.0009,40
67.04,1,16,0.9,0.0001,100
67.13,1,16,0.9,0.0002,70
67.61,1,16,0.9,0.0003,60
67.41,1,16,0.9,0.0004,50
67.96,1,16,0.9,0.0005,50
67.14,1,16,0.9,0.0006,50
67.16,1,16,0.9,0.0007,50
67.63,1,16,0.9,0.0008,40
67.29,1,16,0.9,0.0009,40
68.21,1,32,0.0,0.0001,100
68.24,1,32,0.0,0.0002,70
67.38,1,32,0.0,0.0003,60
68.28,1,32,0.0,0.0004,50
68.11,1,32,0.0,0.0005,50
67.95,1,32,0.0,0.0006,50
67.76,1,32,0.0,0.0007,50
67.91,1,32,0.0,0.0008,40
68.1,1,32,0.0,0.0009,40
68.32,1,32,0.1,0.0001,100
68.2,1,32,0.1,0.0002,70
68.13,1,32,0.1,0.0003,60
67.71,1,32,0.1,0.0004,50
68.31,1,32,0.1,0.0005,50
68.02,1,32,0.1,0.0006,50
68.47,1,32,0.1,0.0007,50
67.92,1,32,0.1,0.0008,40
67.85,1,32,0.1,0.0009,40
68.02,1,32,0.2,0.0001,100
68.2,1,32,0.2,0.0002,70
68.21,1,32,0.2,0.0003,60
68.53,1,32,0.2,0.0004,50
67.8,1,32,0.2,0.0005,50
67.92,1,32,0.2,0.0006,50
68.68,1,32,0.2,0.0007,50
67.45,1,32,0.2,0.0008,40
68.01,1,32,0.2,0.0009,40
68.58,1,32,0.3,0.0001,100
68.52,1,32,0.3,0.0002,70
68.5,1,32,0.3,0.0003,60
67.78,1,32,0.3,0.0004,50
67.82,1,32,0.3,0.0005,50
67.89,1,32,0.3,0.0006,50
67.69,1,32,0.3,0.0007,50
67.97,1,32,0.3,0.0008,40
67.2,1,32,0.3,0.0009,40
68.63,1,32,0.4,0.0001,100
68.19,1,32,0.4,0.0002,70
68.04,1,32,0.4,0.0003,60
67.9,1,32,0.4,0.0004,50
68.05,1,32,0.4,0.0005,50
68.46,1,32,0.4,0.0006,50
68.23,1,32,0.4,0.0007,50
68.01,1,32,0.4,0.0008,40
67.39,1,32,0.4,0.0009,40
68.24,1,32,0.5,0.0001,100
68.83,1,32,0.5,0.0002,70
68.19,1,32,0.5,0.0003,60
68.05,1,32,0.5,0.0004,50
68.52,1,32,0.5,0.0005,50
67.82,1,32,0.5,0.0006,50
68.08,1,32,0.5,0.0007,50
68.07,1,32,0.5,0.0008,40
67.52,1,32,0.5,0.0009,40
68.56,1,32,0.6,0.0001,100
67.46,1,32,0.6,0.0002,70
67.52,1,32,0.6,0.0003,60
68.41,1,32,0.6,0.0004,50
68.14,1,32,0.6,0.0005,50
68.82,1,32,0.6,0.0006,50
68.06,1,32,0.6,0.0007,50
67.51,1,32,0.6,0.0008,40
68.04,1,32,0.6,0.0009,40
68.65,1,32,0.7,0.0001,100
68.23,1,32,0.7,0.0002,70
67.96,1,32,0.7,0.0003,60
68.31,1,32,0.7,0.0004,50
68.28,1,32,0.7,0.0005,50
67.67,1,32,0.7,0.0006,50
67.81,1,32,0.7,0.0007,50
67.84,1,32,0.7,0.0008,40
68.14,1,32,0.7,0.0009,40
68.1,1,32,0.8,0.0001,100
68.32,1,32,0.8,0.0002,70
67.62,1,32,0.8,0.0003,60
67.59,1,32,0.8,0.0004,50
68.32,1,32,0.8,0.0005,50
67.98,1,32,0.8,0.0006,50
67.97,1,32,0.8,0.0007,50
67.42,1,32,0.8,0.0008,40
67.24,1,32,0.8,0.0009,40
66.8,1,32,0.9,0.0001,100
68.38,1,32,0.9,0.0002,70
66.93,1,32,0.9,0.0003,60
67.38,1,32,0.9,0.0004,50
67.58,1,32,0.9,0.0005,50
67.31,1,32,0.9,0.0006,50
67.03,1,32,0.9,0.0007,50
67.17,1,32,0.9,0.0008,40
67.42,1,32,0.9,0.0009,40
