[2022-06-21 19:33:08,996][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 19:33:08,996][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.7, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 19:34:04,658][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9385, train_acc: 78.74, train_micro_fscore: 0.29, train_macro_fscore: 12.87, valid_loss: 0.3696, valid_acc: 88.09, valid_micro_fscore: 0.0, valid_macro_fscore: 13.38, test_loss: 1.8978, test_acc: 18.43, test_micro_fscore: 0.0, test_macro_fscore: 5.19, time: 28.61 sec
[2022-06-21 19:34:26,291][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2712, train_acc: 90.56, train_micro_fscore: 62.4, train_macro_fscore: 24.19, valid_loss: 0.3547, valid_acc: 90.64, valid_micro_fscore: 56.12, valid_macro_fscore: 23.07, test_loss: 1.886, test_acc: 18.74, test_micro_fscore: 5.65, test_macro_fscore: 8.65, time: 21.63 sec
[2022-06-21 19:34:42,342][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2233, train_acc: 92.9, train_micro_fscore: 75.02, train_macro_fscore: 30.88, valid_loss: 0.3395, valid_acc: 90.35, valid_micro_fscore: 56.21, valid_macro_fscore: 27.99, test_loss: 1.8616, test_acc: 18.5, test_micro_fscore: 6.32, test_macro_fscore: 8.28, time: 16.05 sec
[2022-06-21 19:35:11,244][run.py][line:158][INFO] Epoch: 4, train_loss: 0.2116, train_acc: 93.35, train_micro_fscore: 75.49, train_macro_fscore: 33.43, valid_loss: 0.3268, valid_acc: 90.54, valid_micro_fscore: 56.18, valid_macro_fscore: 28.06, test_loss: 1.8496, test_acc: 18.43, test_micro_fscore: 5.11, test_macro_fscore: 8.55, time: 28.9 sec
[2022-06-21 19:35:46,467][run.py][line:158][INFO] Epoch: 5, train_loss: 0.2032, train_acc: 93.49, train_micro_fscore: 75.77, train_macro_fscore: 33.77, valid_loss: 0.3354, valid_acc: 90.44, valid_micro_fscore: 56.36, valid_macro_fscore: 28.15, test_loss: 1.834, test_acc: 18.37, test_micro_fscore: 5.3, test_macro_fscore: 8.55, time: 35.22 sec
[2022-06-21 19:36:06,586][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1971, train_acc: 93.56, train_micro_fscore: 75.97, train_macro_fscore: 34.0, valid_loss: 0.3166, valid_acc: 90.53, valid_micro_fscore: 56.32, valid_macro_fscore: 28.33, test_loss: 1.8179, test_acc: 18.5, test_micro_fscore: 4.8, test_macro_fscore: 8.94, time: 20.12 sec
[2022-06-21 19:36:23,144][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1929, train_acc: 93.62, train_micro_fscore: 76.24, train_macro_fscore: 34.27, valid_loss: 0.3259, valid_acc: 90.59, valid_micro_fscore: 56.82, valid_macro_fscore: 28.59, test_loss: 1.8092, test_acc: 18.56, test_micro_fscore: 3.82, test_macro_fscore: 11.03, time: 16.56 sec
[2022-06-21 19:36:38,614][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1874, train_acc: 93.71, train_micro_fscore: 76.65, train_macro_fscore: 34.6, valid_loss: 0.3243, valid_acc: 90.47, valid_micro_fscore: 56.67, valid_macro_fscore: 28.72, test_loss: 1.7999, test_acc: 18.0, test_micro_fscore: 3.62, test_macro_fscore: 11.37, time: 15.47 sec
[2022-06-21 19:36:59,701][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1824, train_acc: 93.78, train_micro_fscore: 77.14, train_macro_fscore: 35.03, valid_loss: 0.3175, valid_acc: 90.67, valid_micro_fscore: 56.63, valid_macro_fscore: 28.78, test_loss: 1.8123, test_acc: 18.5, test_micro_fscore: 3.56, test_macro_fscore: 11.18, time: 21.09 sec
[2022-06-21 19:37:16,026][run.py][line:158][INFO] Epoch: 10, train_loss: 0.179, train_acc: 93.89, train_micro_fscore: 77.79, train_macro_fscore: 35.8, valid_loss: 0.314, valid_acc: 90.88, valid_micro_fscore: 57.02, valid_macro_fscore: 29.06, test_loss: 1.8152, test_acc: 18.62, test_micro_fscore: 3.57, test_macro_fscore: 11.2, time: 16.32 sec
[2022-06-21 19:37:35,569][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1752, train_acc: 93.98, train_micro_fscore: 78.5, train_macro_fscore: 39.14, valid_loss: 0.3014, valid_acc: 90.72, valid_micro_fscore: 57.73, valid_macro_fscore: 30.87, test_loss: 1.7992, test_acc: 18.62, test_micro_fscore: 4.16, test_macro_fscore: 11.83, time: 19.54 sec
