[2022-06-21 09:26:52,210][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 09:26:52,210][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=8e-06, dropout=0.3, batch_size=16, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 09:27:56,102][run.py][line:158][INFO] Epoch: 1, train_loss: 0.6364, train_acc: 84.64, train_micro_fscore: 36.19, train_macro_fscore: 20.27, valid_loss: 0.3467, valid_acc: 90.63, valid_micro_fscore: 55.83, valid_macro_fscore: 23.02, test_loss: 1.9317, test_acc: 18.99, test_micro_fscore: 6.89, test_macro_fscore: 9.92, time: 45.71 sec
[2022-06-21 09:28:38,346][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2056, train_acc: 93.34, train_micro_fscore: 75.67, train_macro_fscore: 33.1, valid_loss: 0.3212, valid_acc: 90.71, valid_micro_fscore: 56.14, valid_macro_fscore: 27.97, test_loss: 1.8997, test_acc: 18.87, test_micro_fscore: 5.1, test_macro_fscore: 9.0, time: 42.24 sec
[2022-06-21 09:29:20,472][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1912, train_acc: 93.55, train_micro_fscore: 75.91, train_macro_fscore: 34.05, valid_loss: 0.3165, valid_acc: 90.58, valid_micro_fscore: 56.58, valid_macro_fscore: 28.41, test_loss: 1.8375, test_acc: 18.06, test_micro_fscore: 3.77, test_macro_fscore: 10.82, time: 42.13 sec
[2022-06-21 09:30:06,605][run.py][line:158][INFO] Epoch: 4, train_loss: 0.182, train_acc: 93.79, train_micro_fscore: 76.88, train_macro_fscore: 34.74, valid_loss: 0.3044, valid_acc: 90.67, valid_micro_fscore: 56.13, valid_macro_fscore: 28.51, test_loss: 1.8253, test_acc: 18.0, test_micro_fscore: 3.32, test_macro_fscore: 12.05, time: 46.13 sec
[2022-06-21 09:30:47,822][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1734, train_acc: 93.87, train_micro_fscore: 77.65, train_macro_fscore: 35.63, valid_loss: 0.3177, valid_acc: 90.83, valid_micro_fscore: 57.57, valid_macro_fscore: 29.85, test_loss: 1.8447, test_acc: 18.25, test_micro_fscore: 4.1, test_macro_fscore: 11.83, time: 41.22 sec
[2022-06-21 09:31:27,250][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1638, train_acc: 94.38, train_micro_fscore: 80.35, train_macro_fscore: 47.46, valid_loss: 0.2958, valid_acc: 91.09, valid_micro_fscore: 60.16, valid_macro_fscore: 40.27, test_loss: 1.8273, test_acc: 18.13, test_micro_fscore: 4.44, test_macro_fscore: 13.84, time: 39.43 sec
[2022-06-21 09:32:02,773][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1566, train_acc: 94.88, train_micro_fscore: 82.67, train_macro_fscore: 54.61, valid_loss: 0.2992, valid_acc: 91.2, valid_micro_fscore: 61.0, valid_macro_fscore: 42.51, test_loss: 1.7614, test_acc: 31.81, test_micro_fscore: 22.02, test_macro_fscore: 18.79, time: 35.52 sec
[2022-06-21 09:32:43,029][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1522, train_acc: 94.96, train_micro_fscore: 83.16, train_macro_fscore: 56.15, valid_loss: 0.2918, valid_acc: 91.03, valid_micro_fscore: 61.23, valid_macro_fscore: 42.82, test_loss: 1.7114, test_acc: 34.22, test_micro_fscore: 25.47, test_macro_fscore: 19.78, time: 40.25 sec
[2022-06-21 09:33:15,753][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1488, train_acc: 95.07, train_micro_fscore: 83.7, train_macro_fscore: 57.2, valid_loss: 0.2983, valid_acc: 91.01, valid_micro_fscore: 61.16, valid_macro_fscore: 42.97, test_loss: 1.6496, test_acc: 36.5, test_micro_fscore: 28.4, test_macro_fscore: 20.35, time: 32.72 sec
[2022-06-21 09:34:16,153][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1463, train_acc: 95.05, train_micro_fscore: 83.68, train_macro_fscore: 57.5, valid_loss: 0.2881, valid_acc: 91.14, valid_micro_fscore: 61.28, valid_macro_fscore: 43.06, test_loss: 1.6291, test_acc: 37.18, test_micro_fscore: 29.07, test_macro_fscore: 20.46, time: 60.4 sec
[2022-06-21 09:35:08,903][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1441, train_acc: 95.14, train_micro_fscore: 84.03, train_macro_fscore: 58.83, valid_loss: 0.2858, valid_acc: 91.15, valid_micro_fscore: 61.35, valid_macro_fscore: 43.18, test_loss: 1.5967, test_acc: 37.36, test_micro_fscore: 29.21, test_macro_fscore: 20.33, time: 52.75 sec
[2022-06-21 09:35:56,948][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1428, train_acc: 95.15, train_micro_fscore: 84.1, train_macro_fscore: 60.01, valid_loss: 0.2811, valid_acc: 91.32, valid_micro_fscore: 61.15, valid_macro_fscore: 43.18, test_loss: 1.5658, test_acc: 37.42, test_micro_fscore: 29.05, test_macro_fscore: 20.05, time: 48.04 sec
[2022-06-21 09:36:42,940][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1411, train_acc: 95.23, train_micro_fscore: 84.37, train_macro_fscore: 61.39, valid_loss: 0.2855, valid_acc: 91.0, valid_micro_fscore: 61.07, valid_macro_fscore: 43.17, test_loss: 1.568, test_acc: 37.3, test_micro_fscore: 29.23, test_macro_fscore: 20.29, time: 45.99 sec
[2022-06-21 09:37:22,862][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1398, train_acc: 95.32, train_micro_fscore: 84.71, train_macro_fscore: 62.83, valid_loss: 0.2878, valid_acc: 91.5, valid_micro_fscore: 60.77, valid_macro_fscore: 41.85, test_loss: 1.5638, test_acc: 37.55, test_micro_fscore: 29.31, test_macro_fscore: 19.93, time: 39.92 sec
[2022-06-21 09:38:16,888][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1389, train_acc: 95.31, train_micro_fscore: 84.77, train_macro_fscore: 64.07, valid_loss: 0.3013, valid_acc: 90.79, valid_micro_fscore: 61.02, valid_macro_fscore: 42.98, test_loss: 1.5555, test_acc: 37.05, test_micro_fscore: 29.2, test_macro_fscore: 20.09, time: 54.03 sec
[2022-06-21 09:38:57,908][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1391, train_acc: 95.26, train_micro_fscore: 84.58, train_macro_fscore: 63.64, valid_loss: 0.2811, valid_acc: 91.46, valid_micro_fscore: 61.01, valid_macro_fscore: 43.62, test_loss: 1.5202, test_acc: 37.48, test_micro_fscore: 29.59, test_macro_fscore: 19.67, time: 41.02 sec
[2022-06-21 09:39:29,797][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1371, train_acc: 95.36, train_micro_fscore: 84.9, train_macro_fscore: 64.55, valid_loss: 0.2839, valid_acc: 91.45, valid_micro_fscore: 61.38, valid_macro_fscore: 43.46, test_loss: 1.4811, test_acc: 37.36, test_micro_fscore: 29.64, test_macro_fscore: 19.79, time: 31.89 sec
[2022-06-21 09:40:02,721][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1365, train_acc: 95.36, train_micro_fscore: 85.02, train_macro_fscore: 65.36, valid_loss: 0.2904, valid_acc: 91.23, valid_micro_fscore: 61.09, valid_macro_fscore: 43.19, test_loss: 1.4779, test_acc: 37.36, test_micro_fscore: 29.81, test_macro_fscore: 20.06, time: 32.92 sec
[2022-06-21 09:40:39,716][run.py][line:158][INFO] Epoch: 19, train_loss: 0.1358, train_acc: 95.42, train_micro_fscore: 85.15, train_macro_fscore: 65.41, valid_loss: 0.2811, valid_acc: 91.19, valid_micro_fscore: 61.7, valid_macro_fscore: 44.16, test_loss: 1.4823, test_acc: 37.3, test_micro_fscore: 30.04, test_macro_fscore: 20.05, time: 36.99 sec
[2022-06-21 09:41:31,657][run.py][line:158][INFO] Epoch: 20, train_loss: 0.1362, train_acc: 95.38, train_micro_fscore: 85.0, train_macro_fscore: 65.18, valid_loss: 0.2928, valid_acc: 91.25, valid_micro_fscore: 61.27, valid_macro_fscore: 43.57, test_loss: 1.4747, test_acc: 37.73, test_micro_fscore: 30.41, test_macro_fscore: 20.62, time: 51.94 sec
[2022-06-21 09:42:16,413][run.py][line:158][INFO] Epoch: 21, train_loss: 0.1354, train_acc: 95.34, train_micro_fscore: 84.91, train_macro_fscore: 65.61, valid_loss: 0.2938, valid_acc: 91.34, valid_micro_fscore: 61.75, valid_macro_fscore: 43.67, test_loss: 1.4323, test_acc: 38.41, test_micro_fscore: 31.32, test_macro_fscore: 25.08, time: 44.75 sec
[2022-06-21 09:43:03,682][run.py][line:158][INFO] Epoch: 22, train_loss: 0.1352, train_acc: 95.38, train_micro_fscore: 85.1, train_macro_fscore: 66.73, valid_loss: 0.2911, valid_acc: 91.03, valid_micro_fscore: 61.55, valid_macro_fscore: 43.66, test_loss: 1.4378, test_acc: 38.35, test_micro_fscore: 30.99, test_macro_fscore: 25.16, time: 47.27 sec
