[2022-06-20 23:43:11,895][run.py][line:117][INFO] start training on GPU 0!
[2022-06-20 23:43:11,896][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.2, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-20 23:44:08,327][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9332, train_acc: 79.64, train_micro_fscore: 5.84, train_macro_fscore: 14.19, valid_loss: 0.3422, valid_acc: 90.33, valid_micro_fscore: 49.4, valid_macro_fscore: 22.0, test_loss: 1.9707, test_acc: 18.62, test_micro_fscore: 0.88, test_macro_fscore: 6.31, time: 28.78 sec
[2022-06-20 23:44:41,507][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2292, train_acc: 92.38, train_micro_fscore: 71.26, train_macro_fscore: 27.16, valid_loss: 0.332, valid_acc: 91.0, valid_micro_fscore: 56.63, valid_macro_fscore: 27.62, test_loss: 1.93, test_acc: 18.68, test_micro_fscore: 5.11, test_macro_fscore: 10.11, time: 33.18 sec
[2022-06-20 23:45:06,607][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1976, train_acc: 93.54, train_micro_fscore: 76.01, train_macro_fscore: 33.8, valid_loss: 0.3208, valid_acc: 90.48, valid_micro_fscore: 56.3, valid_macro_fscore: 28.13, test_loss: 1.8855, test_acc: 18.56, test_micro_fscore: 5.02, test_macro_fscore: 8.96, time: 25.1 sec
[2022-06-20 23:45:26,773][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1888, train_acc: 93.7, train_micro_fscore: 76.33, train_macro_fscore: 34.19, valid_loss: 0.3076, valid_acc: 90.73, valid_micro_fscore: 56.18, valid_macro_fscore: 28.52, test_loss: 1.864, test_acc: 18.5, test_micro_fscore: 3.57, test_macro_fscore: 11.08, time: 20.16 sec
[2022-06-20 23:45:46,086][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1816, train_acc: 93.76, train_micro_fscore: 76.7, train_macro_fscore: 34.62, valid_loss: 0.317, valid_acc: 90.75, valid_micro_fscore: 56.93, valid_macro_fscore: 28.77, test_loss: 1.86, test_acc: 18.19, test_micro_fscore: 3.6, test_macro_fscore: 11.28, time: 19.31 sec
[2022-06-20 23:46:15,463][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1739, train_acc: 93.79, train_micro_fscore: 77.18, train_macro_fscore: 35.11, valid_loss: 0.3014, valid_acc: 90.78, valid_micro_fscore: 56.94, valid_macro_fscore: 28.93, test_loss: 1.8612, test_acc: 18.19, test_micro_fscore: 3.51, test_macro_fscore: 11.99, time: 29.38 sec
[2022-06-20 23:46:41,830][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1668, train_acc: 94.09, train_micro_fscore: 78.9, train_macro_fscore: 40.39, valid_loss: 0.3095, valid_acc: 91.04, valid_micro_fscore: 59.83, valid_macro_fscore: 37.54, test_loss: 1.8431, test_acc: 18.19, test_micro_fscore: 4.37, test_macro_fscore: 13.1, time: 26.37 sec
[2022-06-20 23:47:12,884][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1586, train_acc: 94.74, train_micro_fscore: 81.94, train_macro_fscore: 52.39, valid_loss: 0.3045, valid_acc: 90.93, valid_micro_fscore: 60.54, valid_macro_fscore: 40.85, test_loss: 1.8091, test_acc: 22.69, test_micro_fscore: 10.5, test_macro_fscore: 16.15, time: 31.05 sec
[2022-06-20 23:47:40,922][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1531, train_acc: 94.91, train_micro_fscore: 82.93, train_macro_fscore: 55.66, valid_loss: 0.3002, valid_acc: 90.97, valid_micro_fscore: 61.08, valid_macro_fscore: 42.52, test_loss: 1.7379, test_acc: 32.55, test_micro_fscore: 23.12, test_macro_fscore: 19.37, time: 28.04 sec
[2022-06-20 23:48:03,182][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1496, train_acc: 95.01, train_micro_fscore: 83.39, train_macro_fscore: 56.64, valid_loss: 0.2948, valid_acc: 91.08, valid_micro_fscore: 61.05, valid_macro_fscore: 42.78, test_loss: 1.7043, test_acc: 35.27, test_micro_fscore: 26.49, test_macro_fscore: 20.25, time: 22.26 sec
[2022-06-20 23:48:19,762][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1459, train_acc: 95.09, train_micro_fscore: 83.7, train_macro_fscore: 57.26, valid_loss: 0.2873, valid_acc: 91.05, valid_micro_fscore: 61.37, valid_macro_fscore: 43.02, test_loss: 1.6583, test_acc: 36.56, test_micro_fscore: 28.22, test_macro_fscore: 20.59, time: 16.58 sec
[2022-06-20 23:48:39,474][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1441, train_acc: 95.1, train_micro_fscore: 83.84, train_macro_fscore: 57.62, valid_loss: 0.2837, valid_acc: 91.26, valid_micro_fscore: 61.47, valid_macro_fscore: 43.36, test_loss: 1.6286, test_acc: 36.56, test_micro_fscore: 28.02, test_macro_fscore: 20.37, time: 19.71 sec
[2022-06-20 23:49:05,081][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1423, train_acc: 95.15, train_micro_fscore: 84.08, train_macro_fscore: 58.57, valid_loss: 0.2818, valid_acc: 91.15, valid_micro_fscore: 61.04, valid_macro_fscore: 42.92, test_loss: 1.6102, test_acc: 36.99, test_micro_fscore: 28.58, test_macro_fscore: 20.61, time: 25.61 sec
[2022-06-20 23:49:31,826][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1408, train_acc: 95.22, train_micro_fscore: 84.3, train_macro_fscore: 59.88, valid_loss: 0.2827, valid_acc: 91.31, valid_micro_fscore: 61.0, valid_macro_fscore: 42.1, test_loss: 1.6095, test_acc: 36.87, test_micro_fscore: 28.44, test_macro_fscore: 20.22, time: 26.74 sec
[2022-06-20 23:49:50,093][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1399, train_acc: 95.23, train_micro_fscore: 84.35, train_macro_fscore: 60.92, valid_loss: 0.2897, valid_acc: 91.06, valid_micro_fscore: 61.42, valid_macro_fscore: 43.17, test_loss: 1.5806, test_acc: 37.61, test_micro_fscore: 29.43, test_macro_fscore: 20.7, time: 18.27 sec
[2022-06-20 23:50:15,331][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1393, train_acc: 95.25, train_micro_fscore: 84.53, train_macro_fscore: 61.99, valid_loss: 0.2812, valid_acc: 91.3, valid_micro_fscore: 60.82, valid_macro_fscore: 43.12, test_loss: 1.5511, test_acc: 37.48, test_micro_fscore: 29.42, test_macro_fscore: 20.18, time: 25.24 sec
[2022-06-20 23:50:41,578][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1382, train_acc: 95.3, train_micro_fscore: 84.68, train_macro_fscore: 63.26, valid_loss: 0.2809, valid_acc: 91.35, valid_micro_fscore: 61.25, valid_macro_fscore: 43.21, test_loss: 1.5295, test_acc: 37.24, test_micro_fscore: 29.2, test_macro_fscore: 20.0, time: 26.25 sec
[2022-06-20 23:51:00,642][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1369, train_acc: 95.32, train_micro_fscore: 84.8, train_macro_fscore: 63.92, valid_loss: 0.2902, valid_acc: 91.25, valid_micro_fscore: 61.13, valid_macro_fscore: 43.31, test_loss: 1.5303, test_acc: 37.24, test_micro_fscore: 29.29, test_macro_fscore: 20.11, time: 19.06 sec
[2022-06-20 23:51:35,099][run.py][line:158][INFO] Epoch: 19, train_loss: 0.1364, train_acc: 95.39, train_micro_fscore: 84.98, train_macro_fscore: 64.58, valid_loss: 0.2808, valid_acc: 90.97, valid_micro_fscore: 61.69, valid_macro_fscore: 44.03, test_loss: 1.5179, test_acc: 37.42, test_micro_fscore: 29.76, test_macro_fscore: 20.47, time: 34.46 sec
