[2022-06-21 07:02:31,543][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 07:02:31,543][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=8e-06, dropout=0.4, batch_size=32, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 07:03:18,026][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9896, train_acc: 78.57, train_micro_fscore: 0.25, train_macro_fscore: 12.77, valid_loss: 0.3657, valid_acc: 88.09, valid_micro_fscore: 0.0, valid_macro_fscore: 13.38, test_loss: 1.927, test_acc: 18.43, test_micro_fscore: 0.0, test_macro_fscore: 5.19, time: 28.7 sec
[2022-06-21 07:03:51,668][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2543, train_acc: 91.31, train_micro_fscore: 66.2, train_macro_fscore: 24.86, valid_loss: 0.3411, valid_acc: 90.64, valid_micro_fscore: 55.9, valid_macro_fscore: 23.05, test_loss: 1.9198, test_acc: 18.56, test_micro_fscore: 5.94, test_macro_fscore: 10.15, time: 33.64 sec
[2022-06-21 07:04:21,241][run.py][line:158][INFO] Epoch: 3, train_loss: 0.209, train_acc: 93.19, train_micro_fscore: 75.64, train_macro_fscore: 32.64, valid_loss: 0.3272, valid_acc: 90.41, valid_micro_fscore: 56.04, valid_macro_fscore: 27.77, test_loss: 1.8898, test_acc: 18.25, test_micro_fscore: 5.38, test_macro_fscore: 8.57, time: 29.57 sec
[2022-06-21 07:04:48,584][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1976, train_acc: 93.57, train_micro_fscore: 75.94, train_macro_fscore: 33.88, valid_loss: 0.3165, valid_acc: 90.64, valid_micro_fscore: 56.37, valid_macro_fscore: 28.27, test_loss: 1.87, test_acc: 18.74, test_micro_fscore: 4.9, test_macro_fscore: 9.1, time: 27.34 sec
[2022-06-21 07:05:22,385][run.py][line:158][INFO] Epoch: 5, train_loss: 0.191, train_acc: 93.64, train_micro_fscore: 76.23, train_macro_fscore: 34.19, valid_loss: 0.3241, valid_acc: 90.63, valid_micro_fscore: 56.78, valid_macro_fscore: 28.37, test_loss: 1.8504, test_acc: 18.43, test_micro_fscore: 4.0, test_macro_fscore: 10.28, time: 33.8 sec
[2022-06-21 07:05:57,878][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1851, train_acc: 93.73, train_micro_fscore: 76.55, train_macro_fscore: 34.52, valid_loss: 0.3083, valid_acc: 90.78, valid_micro_fscore: 56.79, valid_macro_fscore: 28.76, test_loss: 1.8438, test_acc: 18.43, test_micro_fscore: 3.54, test_macro_fscore: 11.41, time: 35.49 sec
[2022-06-21 07:06:15,323][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1788, train_acc: 93.79, train_micro_fscore: 77.08, train_macro_fscore: 34.95, valid_loss: 0.3179, valid_acc: 90.77, valid_micro_fscore: 57.47, valid_macro_fscore: 29.02, test_loss: 1.8469, test_acc: 18.19, test_micro_fscore: 3.77, test_macro_fscore: 10.9, time: 17.44 sec
[2022-06-21 07:06:49,230][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1727, train_acc: 93.87, train_micro_fscore: 77.66, train_macro_fscore: 35.57, valid_loss: 0.3176, valid_acc: 90.63, valid_micro_fscore: 57.43, valid_macro_fscore: 29.05, test_loss: 1.839, test_acc: 18.19, test_micro_fscore: 4.19, test_macro_fscore: 11.56, time: 33.91 sec
[2022-06-21 07:07:23,313][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1684, train_acc: 94.12, train_micro_fscore: 79.17, train_macro_fscore: 42.45, valid_loss: 0.3072, valid_acc: 90.98, valid_micro_fscore: 59.09, valid_macro_fscore: 36.57, test_loss: 1.8311, test_acc: 18.62, test_micro_fscore: 4.54, test_macro_fscore: 12.41, time: 34.08 sec
[2022-06-21 07:07:42,700][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1635, train_acc: 94.55, train_micro_fscore: 81.18, train_macro_fscore: 50.3, valid_loss: 0.3036, valid_acc: 91.29, valid_micro_fscore: 60.5, valid_macro_fscore: 40.51, test_loss: 1.8226, test_acc: 19.24, test_micro_fscore: 5.13, test_macro_fscore: 13.47, time: 19.39 sec
[2022-06-21 07:08:14,976][run.py][line:158][INFO] Epoch: 11, train_loss: 0.158, train_acc: 94.76, train_micro_fscore: 82.24, train_macro_fscore: 53.9, valid_loss: 0.2917, valid_acc: 91.15, valid_micro_fscore: 61.16, valid_macro_fscore: 42.16, test_loss: 1.7759, test_acc: 26.7, test_micro_fscore: 15.8, test_macro_fscore: 16.91, time: 32.28 sec
[2022-06-21 07:08:38,637][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1537, train_acc: 94.96, train_micro_fscore: 83.04, train_macro_fscore: 55.59, valid_loss: 0.2888, valid_acc: 91.24, valid_micro_fscore: 61.2, valid_macro_fscore: 42.85, test_loss: 1.7372, test_acc: 32.8, test_micro_fscore: 23.33, test_macro_fscore: 19.1, time: 23.66 sec
[2022-06-21 07:08:55,964][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1505, train_acc: 94.95, train_micro_fscore: 83.26, train_macro_fscore: 56.46, valid_loss: 0.2874, valid_acc: 91.28, valid_micro_fscore: 61.01, valid_macro_fscore: 42.65, test_loss: 1.7003, test_acc: 34.83, test_micro_fscore: 25.9, test_macro_fscore: 19.81, time: 17.33 sec
[2022-06-21 07:09:16,933][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1479, train_acc: 95.12, train_micro_fscore: 83.77, train_macro_fscore: 57.42, valid_loss: 0.2884, valid_acc: 91.35, valid_micro_fscore: 61.33, valid_macro_fscore: 42.52, test_loss: 1.6862, test_acc: 34.46, test_micro_fscore: 25.56, test_macro_fscore: 19.54, time: 20.97 sec
[2022-06-21 07:09:40,119][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1469, train_acc: 95.1, train_micro_fscore: 83.78, train_macro_fscore: 57.38, valid_loss: 0.2935, valid_acc: 91.06, valid_micro_fscore: 61.19, valid_macro_fscore: 42.62, test_loss: 1.6536, test_acc: 36.37, test_micro_fscore: 28.16, test_macro_fscore: 20.26, time: 23.18 sec
[2022-06-21 07:10:12,663][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1465, train_acc: 95.13, train_micro_fscore: 83.94, train_macro_fscore: 57.53, valid_loss: 0.2845, valid_acc: 91.37, valid_micro_fscore: 61.09, valid_macro_fscore: 43.55, test_loss: 1.6157, test_acc: 37.92, test_micro_fscore: 29.55, test_macro_fscore: 20.54, time: 32.54 sec
[2022-06-21 07:10:31,537][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1448, train_acc: 95.14, train_micro_fscore: 83.96, train_macro_fscore: 57.93, valid_loss: 0.2859, valid_acc: 91.36, valid_micro_fscore: 61.36, valid_macro_fscore: 43.25, test_loss: 1.6038, test_acc: 37.11, test_micro_fscore: 29.1, test_macro_fscore: 20.19, time: 18.87 sec
[2022-06-21 07:11:06,427][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1426, train_acc: 95.21, train_micro_fscore: 84.15, train_macro_fscore: 58.54, valid_loss: 0.2934, valid_acc: 91.32, valid_micro_fscore: 61.32, valid_macro_fscore: 43.46, test_loss: 1.5875, test_acc: 37.42, test_micro_fscore: 29.31, test_macro_fscore: 20.35, time: 34.89 sec
[2022-06-21 07:11:25,304][run.py][line:158][INFO] Epoch: 19, train_loss: 0.142, train_acc: 95.22, train_micro_fscore: 84.18, train_macro_fscore: 59.13, valid_loss: 0.2807, valid_acc: 91.06, valid_micro_fscore: 61.29, valid_macro_fscore: 43.37, test_loss: 1.5686, test_acc: 37.05, test_micro_fscore: 29.24, test_macro_fscore: 20.29, time: 18.88 sec
[2022-06-21 07:11:55,403][run.py][line:158][INFO] Epoch: 20, train_loss: 0.1419, train_acc: 95.21, train_micro_fscore: 84.27, train_macro_fscore: 60.52, valid_loss: 0.2896, valid_acc: 91.13, valid_micro_fscore: 61.1, valid_macro_fscore: 43.04, test_loss: 1.5623, test_acc: 37.24, test_micro_fscore: 29.22, test_macro_fscore: 20.15, time: 30.1 sec
[2022-06-21 07:12:17,120][run.py][line:158][INFO] Epoch: 21, train_loss: 0.1407, train_acc: 95.28, train_micro_fscore: 84.54, train_macro_fscore: 61.44, valid_loss: 0.2947, valid_acc: 91.13, valid_micro_fscore: 61.48, valid_macro_fscore: 43.27, test_loss: 1.5353, test_acc: 37.3, test_micro_fscore: 29.37, test_macro_fscore: 20.12, time: 21.72 sec
[2022-06-21 07:12:34,498][run.py][line:158][INFO] Epoch: 22, train_loss: 0.1406, train_acc: 95.28, train_micro_fscore: 84.5, train_macro_fscore: 61.95, valid_loss: 0.2912, valid_acc: 91.09, valid_micro_fscore: 61.39, valid_macro_fscore: 43.11, test_loss: 1.5318, test_acc: 37.11, test_micro_fscore: 29.27, test_macro_fscore: 20.06, time: 17.38 sec
[2022-06-21 07:12:58,376][run.py][line:158][INFO] Epoch: 23, train_loss: 0.1395, train_acc: 95.29, train_micro_fscore: 84.6, train_macro_fscore: 62.29, valid_loss: 0.2901, valid_acc: 91.13, valid_micro_fscore: 60.94, valid_macro_fscore: 42.89, test_loss: 1.5234, test_acc: 37.18, test_micro_fscore: 29.4, test_macro_fscore: 19.84, time: 23.88 sec
