[2022-06-21 15:49:49,816][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 15:49:49,816][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.6, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 15:50:42,346][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9349, train_acc: 78.92, train_micro_fscore: 0.54, train_macro_fscore: 12.9, valid_loss: 0.3587, valid_acc: 88.76, valid_micro_fscore: 13.26, valid_macro_fscore: 16.0, test_loss: 1.9155, test_acc: 18.43, test_micro_fscore: 0.0, test_macro_fscore: 5.19, time: 25.42 sec
[2022-06-21 15:51:04,162][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2547, train_acc: 91.43, train_micro_fscore: 66.78, train_macro_fscore: 24.99, valid_loss: 0.3483, valid_acc: 90.64, valid_micro_fscore: 56.0, valid_macro_fscore: 23.06, test_loss: 1.8926, test_acc: 18.68, test_micro_fscore: 6.03, test_macro_fscore: 9.42, time: 21.82 sec
[2022-06-21 15:51:24,123][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2159, train_acc: 93.12, train_micro_fscore: 75.55, train_macro_fscore: 32.12, valid_loss: 0.3344, valid_acc: 90.37, valid_micro_fscore: 56.03, valid_macro_fscore: 27.83, test_loss: 1.8693, test_acc: 18.37, test_micro_fscore: 5.72, test_macro_fscore: 8.55, time: 19.96 sec
[2022-06-21 15:51:47,247][run.py][line:158][INFO] Epoch: 4, train_loss: 0.2042, train_acc: 93.44, train_micro_fscore: 75.57, train_macro_fscore: 33.65, valid_loss: 0.322, valid_acc: 90.58, valid_micro_fscore: 56.42, valid_macro_fscore: 28.24, test_loss: 1.8508, test_acc: 18.68, test_micro_fscore: 5.12, test_macro_fscore: 8.74, time: 23.12 sec
[2022-06-21 15:52:06,491][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1971, train_acc: 93.55, train_micro_fscore: 76.02, train_macro_fscore: 34.03, valid_loss: 0.3298, valid_acc: 90.47, valid_micro_fscore: 56.49, valid_macro_fscore: 28.28, test_loss: 1.8332, test_acc: 18.31, test_micro_fscore: 4.93, test_macro_fscore: 8.81, time: 19.24 sec
[2022-06-21 15:52:21,476][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1901, train_acc: 93.67, train_micro_fscore: 76.34, train_macro_fscore: 34.35, valid_loss: 0.312, valid_acc: 90.74, valid_micro_fscore: 56.8, valid_macro_fscore: 28.69, test_loss: 1.8246, test_acc: 18.56, test_micro_fscore: 3.5, test_macro_fscore: 11.17, time: 14.98 sec
[2022-06-21 15:52:37,727][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1852, train_acc: 93.73, train_micro_fscore: 76.77, train_macro_fscore: 34.7, valid_loss: 0.3207, valid_acc: 90.66, valid_micro_fscore: 56.95, valid_macro_fscore: 28.69, test_loss: 1.8267, test_acc: 18.31, test_micro_fscore: 3.79, test_macro_fscore: 10.93, time: 16.25 sec
[2022-06-21 15:52:55,476][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1781, train_acc: 93.87, train_micro_fscore: 77.51, train_macro_fscore: 35.18, valid_loss: 0.3217, valid_acc: 90.53, valid_micro_fscore: 57.11, valid_macro_fscore: 28.95, test_loss: 1.8244, test_acc: 18.37, test_micro_fscore: 4.23, test_macro_fscore: 11.35, time: 17.75 sec
[2022-06-21 15:53:13,684][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1743, train_acc: 93.86, train_micro_fscore: 77.85, train_macro_fscore: 36.3, valid_loss: 0.3121, valid_acc: 90.73, valid_micro_fscore: 57.05, valid_macro_fscore: 29.8, test_loss: 1.8278, test_acc: 18.56, test_micro_fscore: 4.09, test_macro_fscore: 11.14, time: 18.21 sec
[2022-06-21 15:53:36,712][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1716, train_acc: 94.18, train_micro_fscore: 79.48, train_macro_fscore: 43.44, valid_loss: 0.3089, valid_acc: 91.13, valid_micro_fscore: 58.87, valid_macro_fscore: 35.4, test_loss: 1.8242, test_acc: 18.8, test_micro_fscore: 4.2, test_macro_fscore: 11.74, time: 23.03 sec
[2022-06-21 15:53:54,541][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1664, train_acc: 94.54, train_micro_fscore: 81.1, train_macro_fscore: 49.66, valid_loss: 0.2968, valid_acc: 91.09, valid_micro_fscore: 60.53, valid_macro_fscore: 40.8, test_loss: 1.8028, test_acc: 18.8, test_micro_fscore: 5.26, test_macro_fscore: 13.5, time: 17.83 sec
[2022-06-21 15:54:10,249][run.py][line:158][INFO] Epoch: 12, train_loss: 0.162, train_acc: 94.66, train_micro_fscore: 81.65, train_macro_fscore: 52.33, valid_loss: 0.2937, valid_acc: 91.37, valid_micro_fscore: 61.11, valid_macro_fscore: 42.25, test_loss: 1.7949, test_acc: 27.56, test_micro_fscore: 16.13, test_macro_fscore: 17.02, time: 15.71 sec
[2022-06-21 15:54:30,342][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1581, train_acc: 94.79, train_micro_fscore: 82.34, train_macro_fscore: 54.13, valid_loss: 0.2924, valid_acc: 91.26, valid_micro_fscore: 60.84, valid_macro_fscore: 42.17, test_loss: 1.7756, test_acc: 32.24, test_micro_fscore: 22.47, test_macro_fscore: 18.53, time: 20.09 sec
