[2022-06-20 19:36:46,090][run.py][line:117][INFO] start training on GPU 0!
[2022-06-20 19:36:46,090][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.1, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-20 19:37:37,138][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9341, train_acc: 79.83, train_micro_fscore: 7.64, train_macro_fscore: 14.64, valid_loss: 0.3419, valid_acc: 90.28, valid_micro_fscore: 50.33, valid_macro_fscore: 22.11, test_loss: 1.9826, test_acc: 18.5, test_micro_fscore: 1.76, test_macro_fscore: 6.87, time: 33.19 sec
[2022-06-20 19:38:00,339][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2258, train_acc: 92.52, train_micro_fscore: 71.72, train_macro_fscore: 28.48, valid_loss: 0.3273, valid_acc: 90.94, valid_micro_fscore: 56.42, valid_macro_fscore: 27.59, test_loss: 1.9389, test_acc: 18.62, test_micro_fscore: 5.1, test_macro_fscore: 8.64, time: 23.2 sec
[2022-06-20 19:38:28,979][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1942, train_acc: 93.62, train_micro_fscore: 76.13, train_macro_fscore: 33.9, valid_loss: 0.3199, valid_acc: 90.42, valid_micro_fscore: 56.11, valid_macro_fscore: 28.02, test_loss: 1.8905, test_acc: 18.43, test_micro_fscore: 4.95, test_macro_fscore: 9.08, time: 28.64 sec
[2022-06-20 19:39:05,264][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1855, train_acc: 93.69, train_micro_fscore: 76.3, train_macro_fscore: 34.16, valid_loss: 0.3049, valid_acc: 90.79, valid_micro_fscore: 56.04, valid_macro_fscore: 28.44, test_loss: 1.8723, test_acc: 18.37, test_micro_fscore: 3.29, test_macro_fscore: 11.2, time: 36.29 sec
[2022-06-20 19:39:39,177][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1786, train_acc: 93.8, train_micro_fscore: 76.86, train_macro_fscore: 34.7, valid_loss: 0.3141, valid_acc: 90.8, valid_micro_fscore: 57.1, valid_macro_fscore: 28.85, test_loss: 1.8708, test_acc: 18.13, test_micro_fscore: 3.45, test_macro_fscore: 11.51, time: 33.91 sec
[2022-06-20 19:40:17,189][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1699, train_acc: 93.88, train_micro_fscore: 77.63, train_macro_fscore: 36.19, valid_loss: 0.2977, valid_acc: 90.84, valid_micro_fscore: 57.37, valid_macro_fscore: 30.2, test_loss: 1.8668, test_acc: 17.88, test_micro_fscore: 3.26, test_macro_fscore: 12.21, time: 38.01 sec
[2022-06-20 19:40:54,106][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1608, train_acc: 94.55, train_micro_fscore: 81.24, train_macro_fscore: 49.78, valid_loss: 0.3036, valid_acc: 91.16, valid_micro_fscore: 60.69, valid_macro_fscore: 40.72, test_loss: 1.8065, test_acc: 22.13, test_micro_fscore: 9.47, test_macro_fscore: 15.52, time: 36.92 sec
[2022-06-20 19:41:23,214][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1527, train_acc: 94.97, train_micro_fscore: 83.04, train_macro_fscore: 55.35, valid_loss: 0.3003, valid_acc: 90.99, valid_micro_fscore: 61.13, valid_macro_fscore: 42.47, test_loss: 1.7466, test_acc: 28.24, test_micro_fscore: 17.7, test_macro_fscore: 18.32, time: 29.11 sec
[2022-06-20 19:41:41,798][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1485, train_acc: 95.02, train_micro_fscore: 83.47, train_macro_fscore: 56.89, valid_loss: 0.299, valid_acc: 90.87, valid_micro_fscore: 61.05, valid_macro_fscore: 42.62, test_loss: 1.6743, test_acc: 34.34, test_micro_fscore: 25.55, test_macro_fscore: 20.15, time: 18.58 sec
[2022-06-20 19:42:03,504][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1464, train_acc: 95.05, train_micro_fscore: 83.58, train_macro_fscore: 57.01, valid_loss: 0.2934, valid_acc: 91.05, valid_micro_fscore: 61.44, valid_macro_fscore: 43.07, test_loss: 1.6491, test_acc: 35.51, test_micro_fscore: 27.03, test_macro_fscore: 20.13, time: 21.71 sec
[2022-06-20 19:42:34,057][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1435, train_acc: 95.15, train_micro_fscore: 83.94, train_macro_fscore: 57.73, valid_loss: 0.2858, valid_acc: 91.08, valid_micro_fscore: 61.48, valid_macro_fscore: 43.03, test_loss: 1.6154, test_acc: 36.5, test_micro_fscore: 28.13, test_macro_fscore: 20.66, time: 30.55 sec
