[2022-06-21 22:07:11,279][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 22:07:11,280][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.5, batch_size=16, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 22:08:16,091][run.py][line:158][INFO] Epoch: 1, train_loss: 0.6061, train_acc: 84.97, train_micro_fscore: 37.56, train_macro_fscore: 20.49, valid_loss: 0.3546, valid_acc: 90.61, valid_micro_fscore: 55.95, valid_macro_fscore: 23.03, test_loss: 1.9202, test_acc: 18.87, test_micro_fscore: 6.58, test_macro_fscore: 9.26, time: 38.07 sec
[2022-06-21 22:08:57,721][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2115, train_acc: 93.24, train_micro_fscore: 75.49, train_macro_fscore: 32.9, valid_loss: 0.3261, valid_acc: 90.74, valid_micro_fscore: 56.31, valid_macro_fscore: 28.09, test_loss: 1.8791, test_acc: 18.93, test_micro_fscore: 5.18, test_macro_fscore: 8.97, time: 41.63 sec
[2022-06-21 22:09:36,532][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1957, train_acc: 93.55, train_micro_fscore: 75.93, train_macro_fscore: 34.06, valid_loss: 0.3213, valid_acc: 90.52, valid_micro_fscore: 56.45, valid_macro_fscore: 28.42, test_loss: 1.821, test_acc: 18.37, test_micro_fscore: 4.03, test_macro_fscore: 10.3, time: 38.81 sec
[2022-06-21 22:10:33,520][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1865, train_acc: 93.73, train_micro_fscore: 76.72, train_macro_fscore: 34.64, valid_loss: 0.3055, valid_acc: 90.66, valid_micro_fscore: 56.11, valid_macro_fscore: 28.59, test_loss: 1.8073, test_acc: 18.06, test_micro_fscore: 3.25, test_macro_fscore: 12.02, time: 56.99 sec
[2022-06-21 22:11:16,655][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1775, train_acc: 93.82, train_micro_fscore: 77.41, train_macro_fscore: 35.23, valid_loss: 0.3214, valid_acc: 90.75, valid_micro_fscore: 57.25, valid_macro_fscore: 29.01, test_loss: 1.8219, test_acc: 18.25, test_micro_fscore: 3.9, test_macro_fscore: 11.56, time: 43.13 sec
[2022-06-21 22:11:55,268][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1699, train_acc: 94.01, train_micro_fscore: 78.6, train_macro_fscore: 40.03, valid_loss: 0.3014, valid_acc: 90.72, valid_micro_fscore: 57.41, valid_macro_fscore: 31.44, test_loss: 1.8179, test_acc: 18.25, test_micro_fscore: 4.22, test_macro_fscore: 13.3, time: 38.61 sec
[2022-06-21 22:12:39,331][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1636, train_acc: 94.58, train_micro_fscore: 81.33, train_macro_fscore: 50.54, valid_loss: 0.3034, valid_acc: 91.29, valid_micro_fscore: 60.84, valid_macro_fscore: 41.83, test_loss: 1.7929, test_acc: 32.0, test_micro_fscore: 22.06, test_macro_fscore: 18.82, time: 44.06 sec
[2022-06-21 22:13:26,504][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1578, train_acc: 94.83, train_micro_fscore: 82.55, train_macro_fscore: 54.83, valid_loss: 0.2935, valid_acc: 91.09, valid_micro_fscore: 61.21, valid_macro_fscore: 42.81, test_loss: 1.736, test_acc: 35.57, test_micro_fscore: 27.17, test_macro_fscore: 20.04, time: 47.17 sec
[2022-06-21 22:14:19,768][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1541, train_acc: 95.02, train_micro_fscore: 83.48, train_macro_fscore: 56.7, valid_loss: 0.3025, valid_acc: 90.99, valid_micro_fscore: 61.01, valid_macro_fscore: 42.87, test_loss: 1.6782, test_acc: 36.31, test_micro_fscore: 28.32, test_macro_fscore: 20.26, time: 53.26 sec
[2022-06-21 22:15:13,141][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1505, train_acc: 95.0, train_micro_fscore: 83.45, train_macro_fscore: 56.91, valid_loss: 0.2917, valid_acc: 91.19, valid_micro_fscore: 61.21, valid_macro_fscore: 43.05, test_loss: 1.6474, test_acc: 36.87, test_micro_fscore: 28.62, test_macro_fscore: 20.4, time: 53.37 sec
[2022-06-21 22:15:57,116][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1478, train_acc: 95.1, train_micro_fscore: 83.82, train_macro_fscore: 57.82, valid_loss: 0.2899, valid_acc: 91.1, valid_micro_fscore: 61.19, valid_macro_fscore: 43.03, test_loss: 1.6084, test_acc: 37.11, test_micro_fscore: 28.97, test_macro_fscore: 20.55, time: 43.97 sec
[2022-06-21 22:16:49,809][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1473, train_acc: 95.1, train_micro_fscore: 83.9, train_macro_fscore: 58.37, valid_loss: 0.2849, valid_acc: 91.35, valid_micro_fscore: 61.27, valid_macro_fscore: 43.27, test_loss: 1.5759, test_acc: 37.61, test_micro_fscore: 29.26, test_macro_fscore: 20.32, time: 52.69 sec
[2022-06-21 22:17:36,200][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1451, train_acc: 95.21, train_micro_fscore: 84.26, train_macro_fscore: 59.76, valid_loss: 0.2906, valid_acc: 91.05, valid_micro_fscore: 61.17, valid_macro_fscore: 43.47, test_loss: 1.5658, test_acc: 37.55, test_micro_fscore: 29.76, test_macro_fscore: 20.55, time: 46.39 sec
[2022-06-21 22:18:23,817][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1431, train_acc: 95.24, train_micro_fscore: 84.4, train_macro_fscore: 61.1, valid_loss: 0.2915, valid_acc: 91.42, valid_micro_fscore: 60.69, valid_macro_fscore: 41.82, test_loss: 1.548, test_acc: 37.11, test_micro_fscore: 28.96, test_macro_fscore: 19.61, time: 47.62 sec
[2022-06-21 22:19:12,323][run.py][line:158][INFO] Epoch: 15, train_loss: 0.143, train_acc: 95.22, train_micro_fscore: 84.4, train_macro_fscore: 62.11, valid_loss: 0.3063, valid_acc: 90.82, valid_micro_fscore: 61.11, valid_macro_fscore: 43.21, test_loss: 1.5461, test_acc: 37.36, test_micro_fscore: 29.68, test_macro_fscore: 23.77, time: 48.51 sec
[2022-06-21 22:19:56,835][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1424, train_acc: 95.26, train_micro_fscore: 84.55, train_macro_fscore: 62.91, valid_loss: 0.2845, valid_acc: 91.44, valid_micro_fscore: 60.63, valid_macro_fscore: 43.15, test_loss: 1.5222, test_acc: 37.61, test_micro_fscore: 29.33, test_macro_fscore: 23.02, time: 44.51 sec
[2022-06-21 22:20:27,059][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1405, train_acc: 95.33, train_micro_fscore: 84.8, train_macro_fscore: 63.9, valid_loss: 0.2874, valid_acc: 91.36, valid_micro_fscore: 61.13, valid_macro_fscore: 43.31, test_loss: 1.4904, test_acc: 37.48, test_micro_fscore: 29.61, test_macro_fscore: 23.24, time: 30.22 sec
[2022-06-21 22:21:08,351][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1399, train_acc: 95.31, train_micro_fscore: 84.82, train_macro_fscore: 64.4, valid_loss: 0.2962, valid_acc: 91.29, valid_micro_fscore: 61.34, valid_macro_fscore: 43.51, test_loss: 1.4803, test_acc: 37.3, test_micro_fscore: 29.67, test_macro_fscore: 23.28, time: 41.29 sec
[2022-06-21 22:21:37,636][run.py][line:158][INFO] Epoch: 19, train_loss: 0.1398, train_acc: 95.4, train_micro_fscore: 85.07, train_macro_fscore: 65.16, valid_loss: 0.285, valid_acc: 91.09, valid_micro_fscore: 61.37, valid_macro_fscore: 43.88, test_loss: 1.4691, test_acc: 37.18, test_micro_fscore: 29.75, test_macro_fscore: 23.35, time: 29.28 sec
[2022-06-21 22:22:11,048][run.py][line:158][INFO] Epoch: 20, train_loss: 0.1394, train_acc: 95.33, train_micro_fscore: 84.86, train_macro_fscore: 64.88, valid_loss: 0.298, valid_acc: 91.18, valid_micro_fscore: 61.24, valid_macro_fscore: 43.56, test_loss: 1.4589, test_acc: 37.18, test_micro_fscore: 29.78, test_macro_fscore: 23.42, time: 33.41 sec
[2022-06-21 22:22:51,405][run.py][line:158][INFO] Epoch: 21, train_loss: 0.138, train_acc: 95.36, train_micro_fscore: 85.0, train_macro_fscore: 65.2, valid_loss: 0.2986, valid_acc: 91.26, valid_micro_fscore: 61.56, valid_macro_fscore: 43.55, test_loss: 1.4201, test_acc: 38.47, test_micro_fscore: 31.29, test_macro_fscore: 25.06, time: 40.36 sec
[2022-06-21 22:23:27,020][run.py][line:158][INFO] Epoch: 22, train_loss: 0.1391, train_acc: 95.39, train_micro_fscore: 85.07, train_macro_fscore: 65.72, valid_loss: 0.2924, valid_acc: 91.04, valid_micro_fscore: 61.58, valid_macro_fscore: 43.58, test_loss: 1.4319, test_acc: 37.92, test_micro_fscore: 30.72, test_macro_fscore: 24.56, time: 35.61 sec
[2022-06-21 22:23:58,555][run.py][line:158][INFO] Epoch: 23, train_loss: 0.1359, train_acc: 95.45, train_micro_fscore: 85.25, train_macro_fscore: 65.81, valid_loss: 0.2977, valid_acc: 91.16, valid_micro_fscore: 61.2, valid_macro_fscore: 43.41, test_loss: 1.4421, test_acc: 38.04, test_micro_fscore: 30.85, test_macro_fscore: 25.44, time: 31.53 sec
