[2022-06-21 11:07:02,436][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 11:07:02,436][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=8e-06, dropout=0.5, batch_size=32, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 11:07:59,307][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9896, train_acc: 78.5, train_micro_fscore: 0.24, train_macro_fscore: 12.77, valid_loss: 0.3709, valid_acc: 88.09, valid_micro_fscore: 0.0, valid_macro_fscore: 13.38, test_loss: 1.9173, test_acc: 18.43, test_micro_fscore: 0.0, test_macro_fscore: 5.19, time: 29.12 sec
[2022-06-21 11:08:18,481][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2617, train_acc: 90.89, train_micro_fscore: 64.22, train_macro_fscore: 24.44, valid_loss: 0.346, valid_acc: 90.63, valid_micro_fscore: 55.94, valid_macro_fscore: 23.04, test_loss: 1.9076, test_acc: 18.62, test_micro_fscore: 5.96, test_macro_fscore: 9.81, time: 19.17 sec
[2022-06-21 11:08:37,666][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2137, train_acc: 93.08, train_micro_fscore: 75.53, train_macro_fscore: 31.91, valid_loss: 0.331, valid_acc: 90.57, valid_micro_fscore: 56.46, valid_macro_fscore: 28.07, test_loss: 1.8804, test_acc: 18.43, test_micro_fscore: 5.52, test_macro_fscore: 8.66, time: 19.18 sec
[2022-06-21 11:09:04,139][run.py][line:158][INFO] Epoch: 4, train_loss: 0.2023, train_acc: 93.48, train_micro_fscore: 75.71, train_macro_fscore: 33.72, valid_loss: 0.3196, valid_acc: 90.57, valid_micro_fscore: 56.18, valid_macro_fscore: 28.07, test_loss: 1.8636, test_acc: 18.74, test_micro_fscore: 5.11, test_macro_fscore: 8.93, time: 26.47 sec
[2022-06-21 11:09:31,057][run.py][line:158][INFO] Epoch: 5, train_loss: 0.195, train_acc: 93.62, train_micro_fscore: 76.2, train_macro_fscore: 34.12, valid_loss: 0.328, valid_acc: 90.51, valid_micro_fscore: 56.52, valid_macro_fscore: 28.16, test_loss: 1.8447, test_acc: 18.37, test_micro_fscore: 4.65, test_macro_fscore: 9.29, time: 26.92 sec
[2022-06-21 11:09:49,244][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1885, train_acc: 93.68, train_micro_fscore: 76.39, train_macro_fscore: 34.35, valid_loss: 0.3105, valid_acc: 90.77, valid_micro_fscore: 56.83, valid_macro_fscore: 28.73, test_loss: 1.8338, test_acc: 18.56, test_micro_fscore: 3.51, test_macro_fscore: 11.21, time: 18.19 sec
[2022-06-21 11:10:10,831][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1841, train_acc: 93.75, train_micro_fscore: 76.76, train_macro_fscore: 34.73, valid_loss: 0.3191, valid_acc: 90.67, valid_micro_fscore: 57.01, valid_macro_fscore: 28.71, test_loss: 1.8342, test_acc: 18.37, test_micro_fscore: 3.82, test_macro_fscore: 11.34, time: 21.59 sec
[2022-06-21 11:10:40,792][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1768, train_acc: 93.85, train_micro_fscore: 77.34, train_macro_fscore: 35.11, valid_loss: 0.3214, valid_acc: 90.52, valid_micro_fscore: 57.08, valid_macro_fscore: 28.88, test_loss: 1.831, test_acc: 18.25, test_micro_fscore: 4.18, test_macro_fscore: 11.73, time: 29.96 sec
[2022-06-21 11:11:06,697][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1735, train_acc: 93.89, train_micro_fscore: 77.92, train_macro_fscore: 36.4, valid_loss: 0.3094, valid_acc: 90.78, valid_micro_fscore: 57.42, valid_macro_fscore: 30.3, test_loss: 1.8327, test_acc: 18.43, test_micro_fscore: 3.94, test_macro_fscore: 11.54, time: 25.9 sec
[2022-06-21 11:11:41,403][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1691, train_acc: 94.27, train_micro_fscore: 79.85, train_macro_fscore: 44.99, valid_loss: 0.3087, valid_acc: 91.15, valid_micro_fscore: 59.3, valid_macro_fscore: 36.85, test_loss: 1.8344, test_acc: 18.62, test_micro_fscore: 4.13, test_macro_fscore: 12.28, time: 34.71 sec
[2022-06-21 11:12:19,122][run.py][line:158][INFO] Epoch: 11, train_loss: 0.164, train_acc: 94.58, train_micro_fscore: 81.35, train_macro_fscore: 50.77, valid_loss: 0.2956, valid_acc: 91.08, valid_micro_fscore: 60.42, valid_macro_fscore: 40.48, test_loss: 1.8112, test_acc: 18.68, test_micro_fscore: 4.87, test_macro_fscore: 13.61, time: 37.72 sec
