[2022-06-21 12:08:36,480][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 12:08:36,480][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.2, batch_size=8, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 12:10:17,221][run.py][line:158][INFO] Epoch: 1, train_loss: 0.4103, train_acc: 89.14, train_micro_fscore: 58.38, train_macro_fscore: 28.32, valid_loss: 0.3294, valid_acc: 90.87, valid_micro_fscore: 56.01, valid_macro_fscore: 27.95, test_loss: 1.9395, test_acc: 18.93, test_micro_fscore: 5.16, test_macro_fscore: 8.98, time: 73.2 sec
[2022-06-21 12:11:20,460][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1891, train_acc: 93.68, train_micro_fscore: 76.43, train_macro_fscore: 34.31, valid_loss: 0.309, valid_acc: 90.79, valid_micro_fscore: 56.56, valid_macro_fscore: 28.68, test_loss: 1.8544, test_acc: 18.13, test_micro_fscore: 3.56, test_macro_fscore: 11.0, time: 63.24 sec
[2022-06-21 12:12:33,189][run.py][line:158][INFO] Epoch: 3, train_loss: 0.173, train_acc: 93.9, train_micro_fscore: 77.84, train_macro_fscore: 37.66, valid_loss: 0.3138, valid_acc: 90.33, valid_micro_fscore: 58.25, valid_macro_fscore: 34.93, test_loss: 1.8334, test_acc: 17.82, test_micro_fscore: 4.16, test_macro_fscore: 12.89, time: 72.73 sec
[2022-06-21 12:13:40,862][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1575, train_acc: 94.83, train_micro_fscore: 82.59, train_macro_fscore: 54.46, valid_loss: 0.2888, valid_acc: 90.94, valid_micro_fscore: 61.01, valid_macro_fscore: 42.67, test_loss: 1.7412, test_acc: 30.58, test_micro_fscore: 21.02, test_macro_fscore: 19.03, time: 67.67 sec
[2022-06-21 12:14:51,063][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1498, train_acc: 94.99, train_micro_fscore: 83.33, train_macro_fscore: 56.68, valid_loss: 0.3039, valid_acc: 91.14, valid_micro_fscore: 61.12, valid_macro_fscore: 42.29, test_loss: 1.7202, test_acc: 32.18, test_micro_fscore: 22.86, test_macro_fscore: 19.43, time: 70.2 sec
[2022-06-21 12:15:54,887][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1457, train_acc: 95.1, train_micro_fscore: 83.86, train_macro_fscore: 58.01, valid_loss: 0.2856, valid_acc: 91.06, valid_micro_fscore: 60.87, valid_macro_fscore: 42.53, test_loss: 1.6582, test_acc: 35.27, test_micro_fscore: 26.71, test_macro_fscore: 19.91, time: 63.82 sec
[2022-06-21 12:17:03,044][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1443, train_acc: 95.16, train_micro_fscore: 84.16, train_macro_fscore: 60.5, valid_loss: 0.2898, valid_acc: 91.28, valid_micro_fscore: 60.88, valid_macro_fscore: 43.04, test_loss: 1.5989, test_acc: 37.55, test_micro_fscore: 29.45, test_macro_fscore: 20.32, time: 68.16 sec
[2022-06-21 12:18:06,985][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1412, train_acc: 95.26, train_micro_fscore: 84.54, train_macro_fscore: 62.77, valid_loss: 0.2854, valid_acc: 90.89, valid_micro_fscore: 61.47, valid_macro_fscore: 43.86, test_loss: 1.5417, test_acc: 37.11, test_micro_fscore: 29.35, test_macro_fscore: 20.14, time: 63.94 sec
[2022-06-21 12:19:24,820][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1401, train_acc: 95.26, train_micro_fscore: 84.65, train_macro_fscore: 64.25, valid_loss: 0.2945, valid_acc: 90.95, valid_micro_fscore: 61.27, valid_macro_fscore: 43.52, test_loss: 1.5244, test_acc: 37.42, test_micro_fscore: 29.98, test_macro_fscore: 20.1, time: 77.83 sec
[2022-06-21 12:20:43,974][run.py][line:158][INFO] Epoch: 10, train_loss: 0.139, train_acc: 95.35, train_micro_fscore: 84.89, train_macro_fscore: 65.0, valid_loss: 0.2828, valid_acc: 91.23, valid_micro_fscore: 61.43, valid_macro_fscore: 43.67, test_loss: 1.5133, test_acc: 37.55, test_micro_fscore: 30.46, test_macro_fscore: 20.1, time: 79.15 sec
[2022-06-21 12:21:49,701][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1372, train_acc: 95.33, train_micro_fscore: 84.87, train_macro_fscore: 65.46, valid_loss: 0.284, valid_acc: 91.44, valid_micro_fscore: 61.1, valid_macro_fscore: 42.52, test_loss: 1.491, test_acc: 37.79, test_micro_fscore: 30.67, test_macro_fscore: 20.34, time: 65.73 sec
[2022-06-21 12:23:17,980][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1361, train_acc: 95.39, train_micro_fscore: 85.08, train_macro_fscore: 65.46, valid_loss: 0.2788, valid_acc: 91.36, valid_micro_fscore: 60.79, valid_macro_fscore: 43.2, test_loss: 1.4553, test_acc: 38.53, test_micro_fscore: 31.11, test_macro_fscore: 21.36, time: 88.28 sec
[2022-06-21 12:24:12,487][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1354, train_acc: 95.41, train_micro_fscore: 85.19, train_macro_fscore: 67.83, valid_loss: 0.288, valid_acc: 91.08, valid_micro_fscore: 61.4, valid_macro_fscore: 43.84, test_loss: 1.4415, test_acc: 39.21, test_micro_fscore: 32.19, test_macro_fscore: 22.51, time: 54.51 sec
[2022-06-21 12:25:15,129][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1342, train_acc: 95.4, train_micro_fscore: 85.12, train_macro_fscore: 68.15, valid_loss: 0.289, valid_acc: 91.51, valid_micro_fscore: 60.85, valid_macro_fscore: 41.69, test_loss: 1.4368, test_acc: 41.8, test_micro_fscore: 35.74, test_macro_fscore: 24.67, time: 62.64 sec
[2022-06-21 12:26:03,337][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1338, train_acc: 95.47, train_micro_fscore: 85.36, train_macro_fscore: 70.0, valid_loss: 0.3057, valid_acc: 90.83, valid_micro_fscore: 61.21, valid_macro_fscore: 45.85, test_loss: 1.4384, test_acc: 39.95, test_micro_fscore: 33.45, test_macro_fscore: 23.59, time: 48.21 sec
[2022-06-21 12:27:03,095][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1334, train_acc: 95.48, train_micro_fscore: 85.49, train_macro_fscore: 72.02, valid_loss: 0.2852, valid_acc: 91.26, valid_micro_fscore: 61.09, valid_macro_fscore: 45.72, test_loss: 1.4306, test_acc: 41.55, test_micro_fscore: 35.13, test_macro_fscore: 28.74, time: 59.76 sec
[2022-06-21 12:28:10,528][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1323, train_acc: 95.56, train_micro_fscore: 85.8, train_macro_fscore: 73.79, valid_loss: 0.2777, valid_acc: 91.36, valid_micro_fscore: 61.65, valid_macro_fscore: 46.45, test_loss: 1.3467, test_acc: 48.15, test_micro_fscore: 43.38, test_macro_fscore: 34.53, time: 67.43 sec
[2022-06-21 12:29:14,259][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1311, train_acc: 95.54, train_micro_fscore: 85.74, train_macro_fscore: 74.36, valid_loss: 0.2916, valid_acc: 91.36, valid_micro_fscore: 60.91, valid_macro_fscore: 45.81, test_loss: 1.3565, test_acc: 47.6, test_micro_fscore: 42.33, test_macro_fscore: 34.19, time: 63.73 sec
[2022-06-21 12:30:35,767][run.py][line:158][INFO] Epoch: 19, train_loss: 0.1311, train_acc: 95.56, train_micro_fscore: 85.8, train_macro_fscore: 74.22, valid_loss: 0.2806, valid_acc: 91.15, valid_micro_fscore: 61.22, valid_macro_fscore: 43.4, test_loss: 1.3499, test_acc: 46.3, test_micro_fscore: 41.57, test_macro_fscore: 33.43, time: 81.51 sec
[2022-06-21 12:31:41,101][run.py][line:158][INFO] Epoch: 20, train_loss: 0.1311, train_acc: 95.52, train_micro_fscore: 85.68, train_macro_fscore: 74.97, valid_loss: 0.2969, valid_acc: 91.51, valid_micro_fscore: 60.45, valid_macro_fscore: 45.15, test_loss: 1.3533, test_acc: 47.35, test_micro_fscore: 41.67, test_macro_fscore: 34.82, time: 65.33 sec
[2022-06-21 12:33:04,719][run.py][line:158][INFO] Epoch: 21, train_loss: 0.1304, train_acc: 95.58, train_micro_fscore: 85.87, train_macro_fscore: 75.02, valid_loss: 0.2935, valid_acc: 91.41, valid_micro_fscore: 61.84, valid_macro_fscore: 45.95, test_loss: 1.336, test_acc: 48.77, test_micro_fscore: 43.79, test_macro_fscore: 35.63, time: 83.62 sec
[2022-06-21 12:34:17,783][run.py][line:158][INFO] Epoch: 22, train_loss: 0.1295, train_acc: 95.58, train_micro_fscore: 85.89, train_macro_fscore: 75.53, valid_loss: 0.297, valid_acc: 90.95, valid_micro_fscore: 61.44, valid_macro_fscore: 45.99, test_loss: 1.3345, test_acc: 48.09, test_micro_fscore: 43.45, test_macro_fscore: 36.44, time: 73.06 sec
[2022-06-21 12:35:18,691][run.py][line:158][INFO] Epoch: 23, train_loss: 0.1285, train_acc: 95.59, train_micro_fscore: 85.93, train_macro_fscore: 75.63, valid_loss: 0.2978, valid_acc: 91.32, valid_micro_fscore: 61.49, valid_macro_fscore: 45.88, test_loss: 1.3362, test_acc: 49.57, test_micro_fscore: 44.79, test_macro_fscore: 37.56, time: 60.91 sec
[2022-06-21 12:36:37,341][run.py][line:158][INFO] Epoch: 24, train_loss: 0.1282, train_acc: 95.62, train_micro_fscore: 86.03, train_macro_fscore: 76.51, valid_loss: 0.3082, valid_acc: 91.28, valid_micro_fscore: 60.43, valid_macro_fscore: 43.06, test_loss: 1.3326, test_acc: 50.49, test_micro_fscore: 45.91, test_macro_fscore: 38.5, time: 78.65 sec
[2022-06-21 12:37:57,374][run.py][line:158][INFO] Epoch: 25, train_loss: 0.1273, train_acc: 95.6, train_micro_fscore: 85.96, train_macro_fscore: 76.18, valid_loss: 0.2755, valid_acc: 91.4, valid_micro_fscore: 60.49, valid_macro_fscore: 45.89, test_loss: 1.2657, test_acc: 54.01, test_micro_fscore: 50.06, test_macro_fscore: 43.74, time: 80.03 sec
[2022-06-21 12:39:06,868][run.py][line:158][INFO] Epoch: 26, train_loss: 0.1275, train_acc: 95.6, train_micro_fscore: 85.97, train_macro_fscore: 76.87, valid_loss: 0.2872, valid_acc: 91.4, valid_micro_fscore: 61.31, valid_macro_fscore: 45.89, test_loss: 1.3001, test_acc: 51.6, test_micro_fscore: 47.51, test_macro_fscore: 39.86, time: 69.49 sec
[2022-06-21 12:40:18,418][run.py][line:158][INFO] Epoch: 27, train_loss: 0.1257, train_acc: 95.64, train_micro_fscore: 86.05, train_macro_fscore: 75.9, valid_loss: 0.2805, valid_acc: 91.26, valid_micro_fscore: 60.29, valid_macro_fscore: 46.95, test_loss: 1.2756, test_acc: 53.7, test_micro_fscore: 49.02, test_macro_fscore: 43.88, time: 71.55 sec
