[2022-06-21 02:31:56,142][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 02:31:56,142][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.1, batch_size=8, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 02:33:09,439][run.py][line:158][INFO] Epoch: 1, train_loss: 0.4068, train_acc: 89.3, train_micro_fscore: 59.1, train_macro_fscore: 28.83, valid_loss: 0.325, valid_acc: 90.87, valid_micro_fscore: 55.98, valid_macro_fscore: 27.96, test_loss: 1.9452, test_acc: 18.87, test_micro_fscore: 4.84, test_macro_fscore: 9.02, time: 54.77 sec
[2022-06-21 02:34:15,244][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1859, train_acc: 93.72, train_micro_fscore: 76.64, train_macro_fscore: 34.47, valid_loss: 0.3072, valid_acc: 90.97, valid_micro_fscore: 56.82, valid_macro_fscore: 28.82, test_loss: 1.867, test_acc: 18.31, test_micro_fscore: 3.37, test_macro_fscore: 11.51, time: 65.8 sec
[2022-06-21 02:35:20,330][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1667, train_acc: 94.27, train_micro_fscore: 79.73, train_macro_fscore: 45.43, valid_loss: 0.3106, valid_acc: 90.36, valid_micro_fscore: 59.7, valid_macro_fscore: 40.23, test_loss: 1.8018, test_acc: 19.91, test_micro_fscore: 6.94, test_macro_fscore: 15.12, time: 65.09 sec
[2022-06-21 02:36:18,125][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1524, train_acc: 95.02, train_micro_fscore: 83.41, train_macro_fscore: 56.25, valid_loss: 0.2866, valid_acc: 90.9, valid_micro_fscore: 61.19, valid_macro_fscore: 43.09, test_loss: 1.6864, test_acc: 32.37, test_micro_fscore: 23.07, test_macro_fscore: 19.37, time: 57.8 sec
[2022-06-21 02:37:52,515][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1462, train_acc: 95.11, train_micro_fscore: 83.8, train_macro_fscore: 57.44, valid_loss: 0.3003, valid_acc: 91.18, valid_micro_fscore: 61.25, valid_macro_fscore: 42.3, test_loss: 1.6741, test_acc: 33.23, test_micro_fscore: 24.06, test_macro_fscore: 19.5, time: 94.39 sec
[2022-06-21 02:39:20,519][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1432, train_acc: 95.11, train_micro_fscore: 83.93, train_macro_fscore: 58.56, valid_loss: 0.2827, valid_acc: 91.18, valid_micro_fscore: 61.23, valid_macro_fscore: 43.04, test_loss: 1.6032, test_acc: 36.37, test_micro_fscore: 28.07, test_macro_fscore: 20.27, time: 88.0 sec
[2022-06-21 02:40:37,834][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1421, train_acc: 95.23, train_micro_fscore: 84.47, train_macro_fscore: 62.06, valid_loss: 0.2875, valid_acc: 91.31, valid_micro_fscore: 61.21, valid_macro_fscore: 43.57, test_loss: 1.5627, test_acc: 37.61, test_micro_fscore: 29.82, test_macro_fscore: 20.79, time: 77.31 sec
[2022-06-21 02:41:36,174][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1395, train_acc: 95.26, train_micro_fscore: 84.58, train_macro_fscore: 63.53, valid_loss: 0.2847, valid_acc: 90.93, valid_micro_fscore: 61.71, valid_macro_fscore: 44.38, test_loss: 1.5013, test_acc: 37.36, test_micro_fscore: 29.88, test_macro_fscore: 20.29, time: 58.34 sec
[2022-06-21 02:42:41,748][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1384, train_acc: 95.29, train_micro_fscore: 84.76, train_macro_fscore: 64.84, valid_loss: 0.2924, valid_acc: 91.04, valid_micro_fscore: 61.52, valid_macro_fscore: 43.87, test_loss: 1.4991, test_acc: 37.67, test_micro_fscore: 30.6, test_macro_fscore: 20.53, time: 65.57 sec
[2022-06-21 02:44:06,819][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1372, train_acc: 95.38, train_micro_fscore: 85.01, train_macro_fscore: 65.33, valid_loss: 0.2833, valid_acc: 91.25, valid_micro_fscore: 61.57, valid_macro_fscore: 43.97, test_loss: 1.4921, test_acc: 37.98, test_micro_fscore: 31.11, test_macro_fscore: 20.87, time: 85.07 sec
[2022-06-21 02:45:39,547][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1362, train_acc: 95.37, train_micro_fscore: 85.0, train_macro_fscore: 66.17, valid_loss: 0.2837, valid_acc: 91.45, valid_micro_fscore: 60.97, valid_macro_fscore: 42.32, test_loss: 1.4727, test_acc: 38.41, test_micro_fscore: 31.62, test_macro_fscore: 21.59, time: 92.73 sec
