[2022-06-21 18:51:12,568][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 18:51:12,568][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=8e-06, dropout=0.3, batch_size=8, epochs=100, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 18:52:46,905][run.py][line:158][INFO] Epoch: 1, train_loss: 0.4348, train_acc: 88.54, train_micro_fscore: 55.66, train_macro_fscore: 26.98, valid_loss: 0.334, valid_acc: 90.92, valid_micro_fscore: 56.39, valid_macro_fscore: 28.15, test_loss: 1.9367, test_acc: 18.74, test_micro_fscore: 5.19, test_macro_fscore: 8.84, time: 68.01 sec
[2022-06-21 18:53:35,378][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1949, train_acc: 93.59, train_micro_fscore: 76.06, train_macro_fscore: 34.03, valid_loss: 0.3125, valid_acc: 90.75, valid_micro_fscore: 56.55, valid_macro_fscore: 28.47, test_loss: 1.8556, test_acc: 18.5, test_micro_fscore: 3.98, test_macro_fscore: 10.16, time: 48.47 sec
[2022-06-21 18:54:26,611][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1812, train_acc: 93.77, train_micro_fscore: 76.95, train_macro_fscore: 34.83, valid_loss: 0.3202, valid_acc: 90.22, valid_micro_fscore: 56.66, valid_macro_fscore: 28.69, test_loss: 1.8392, test_acc: 17.82, test_micro_fscore: 3.85, test_macro_fscore: 11.57, time: 51.23 sec
[2022-06-21 18:55:31,997][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1687, train_acc: 94.11, train_micro_fscore: 79.1, train_macro_fscore: 43.1, valid_loss: 0.2969, valid_acc: 90.83, valid_micro_fscore: 60.02, valid_macro_fscore: 40.24, test_loss: 1.8136, test_acc: 18.0, test_micro_fscore: 4.6, test_macro_fscore: 13.9, time: 65.39 sec
[2022-06-21 18:56:25,124][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1572, train_acc: 94.82, train_micro_fscore: 82.51, train_macro_fscore: 54.54, valid_loss: 0.3076, valid_acc: 91.18, valid_micro_fscore: 61.15, valid_macro_fscore: 41.99, test_loss: 1.7926, test_acc: 23.92, test_micro_fscore: 12.39, test_macro_fscore: 16.63, time: 53.13 sec
[2022-06-21 18:57:29,213][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1511, train_acc: 95.04, train_micro_fscore: 83.52, train_macro_fscore: 56.95, valid_loss: 0.2884, valid_acc: 91.18, valid_micro_fscore: 61.08, valid_macro_fscore: 42.61, test_loss: 1.7154, test_acc: 32.06, test_micro_fscore: 22.75, test_macro_fscore: 19.26, time: 64.09 sec
[2022-06-21 18:58:39,584][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1484, train_acc: 95.07, train_micro_fscore: 83.74, train_macro_fscore: 57.61, valid_loss: 0.2938, valid_acc: 91.3, valid_micro_fscore: 61.18, valid_macro_fscore: 43.47, test_loss: 1.6491, test_acc: 36.87, test_micro_fscore: 28.4, test_macro_fscore: 20.23, time: 70.37 sec
[2022-06-21 19:00:01,605][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1452, train_acc: 95.15, train_micro_fscore: 84.03, train_macro_fscore: 58.65, valid_loss: 0.2877, valid_acc: 90.94, valid_micro_fscore: 61.42, valid_macro_fscore: 43.54, test_loss: 1.6055, test_acc: 37.11, test_micro_fscore: 29.24, test_macro_fscore: 20.58, time: 82.02 sec
[2022-06-21 19:00:53,067][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1436, train_acc: 95.2, train_micro_fscore: 84.3, train_macro_fscore: 61.13, valid_loss: 0.2958, valid_acc: 90.98, valid_micro_fscore: 61.25, valid_macro_fscore: 43.32, test_loss: 1.565, test_acc: 37.42, test_micro_fscore: 29.48, test_macro_fscore: 20.57, time: 51.46 sec
[2022-06-21 19:01:37,394][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1423, train_acc: 95.31, train_micro_fscore: 84.66, train_macro_fscore: 62.89, valid_loss: 0.2849, valid_acc: 91.25, valid_micro_fscore: 61.42, valid_macro_fscore: 43.49, test_loss: 1.5587, test_acc: 37.05, test_micro_fscore: 29.37, test_macro_fscore: 19.74, time: 44.33 sec
[2022-06-21 19:02:45,584][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1406, train_acc: 95.28, train_micro_fscore: 84.68, train_macro_fscore: 64.13, valid_loss: 0.2841, valid_acc: 91.41, valid_micro_fscore: 61.29, valid_macro_fscore: 43.32, test_loss: 1.5254, test_acc: 37.05, test_micro_fscore: 29.09, test_macro_fscore: 19.46, time: 68.19 sec
[2022-06-21 19:03:50,187][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1392, train_acc: 95.33, train_micro_fscore: 84.87, train_macro_fscore: 64.75, valid_loss: 0.2796, valid_acc: 91.36, valid_micro_fscore: 60.76, valid_macro_fscore: 43.4, test_loss: 1.4932, test_acc: 37.61, test_micro_fscore: 29.88, test_macro_fscore: 19.99, time: 64.6 sec
[2022-06-21 19:04:44,620][run.py][line:158][INFO] Epoch: 13, train_loss: 0.1385, train_acc: 95.36, train_micro_fscore: 84.93, train_macro_fscore: 65.31, valid_loss: 0.287, valid_acc: 91.08, valid_micro_fscore: 61.26, valid_macro_fscore: 43.54, test_loss: 1.4863, test_acc: 37.48, test_micro_fscore: 29.45, test_macro_fscore: 20.32, time: 54.43 sec
