[2022-06-21 07:50:28,122][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 07:50:28,123][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.4, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 07:51:04,709][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9323, train_acc: 79.3, train_micro_fscore: 3.0, train_macro_fscore: 13.49, valid_loss: 0.3463, valid_acc: 90.12, valid_micro_fscore: 44.62, valid_macro_fscore: 21.3, test_loss: 1.9475, test_acc: 18.5, test_micro_fscore: 0.15, test_macro_fscore: 5.44, time: 18.57 sec
[2022-06-21 07:51:37,497][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2382, train_acc: 92.08, train_micro_fscore: 70.08, train_macro_fscore: 25.89, valid_loss: 0.3389, valid_acc: 90.87, valid_micro_fscore: 56.76, valid_macro_fscore: 26.13, test_loss: 1.9158, test_acc: 18.74, test_micro_fscore: 5.62, test_macro_fscore: 10.32, time: 32.79 sec
[2022-06-21 07:52:00,401][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2052, train_acc: 93.37, train_micro_fscore: 75.8, train_macro_fscore: 33.37, valid_loss: 0.3256, valid_acc: 90.38, valid_micro_fscore: 56.11, valid_macro_fscore: 27.98, test_loss: 1.8786, test_acc: 18.37, test_micro_fscore: 5.38, test_macro_fscore: 8.64, time: 22.9 sec
[2022-06-21 07:52:23,796][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1948, train_acc: 93.62, train_micro_fscore: 76.09, train_macro_fscore: 34.0, valid_loss: 0.3141, valid_acc: 90.74, valid_micro_fscore: 56.54, valid_macro_fscore: 28.46, test_loss: 1.855, test_acc: 18.74, test_micro_fscore: 4.31, test_macro_fscore: 9.67, time: 23.39 sec
[2022-06-21 07:52:51,327][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1879, train_acc: 93.7, train_micro_fscore: 76.46, train_macro_fscore: 34.39, valid_loss: 0.3225, valid_acc: 90.64, valid_micro_fscore: 56.81, valid_macro_fscore: 28.56, test_loss: 1.844, test_acc: 18.37, test_micro_fscore: 3.71, test_macro_fscore: 10.93, time: 27.53 sec
[2022-06-21 07:53:33,244][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1807, train_acc: 93.8, train_micro_fscore: 76.97, train_macro_fscore: 34.86, valid_loss: 0.3068, valid_acc: 90.77, valid_micro_fscore: 57.01, valid_macro_fscore: 28.91, test_loss: 1.8453, test_acc: 18.37, test_micro_fscore: 3.58, test_macro_fscore: 11.37, time: 41.92 sec
[2022-06-21 07:54:10,194][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1741, train_acc: 93.82, train_micro_fscore: 77.48, train_macro_fscore: 35.3, valid_loss: 0.3158, valid_acc: 90.77, valid_micro_fscore: 57.54, valid_macro_fscore: 29.14, test_loss: 1.8432, test_acc: 18.62, test_micro_fscore: 4.26, test_macro_fscore: 11.38, time: 36.95 sec
[2022-06-21 07:54:29,610][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1681, train_acc: 94.14, train_micro_fscore: 79.17, train_macro_fscore: 42.17, valid_loss: 0.314, valid_acc: 90.85, valid_micro_fscore: 59.39, valid_macro_fscore: 36.98, test_loss: 1.8306, test_acc: 18.19, test_micro_fscore: 4.61, test_macro_fscore: 12.54, time: 19.42 sec
[2022-06-21 07:54:53,286][run.py][line:158][INFO] Epoch: 9, train_loss: 0.163, train_acc: 94.56, train_micro_fscore: 81.36, train_macro_fscore: 50.91, valid_loss: 0.3044, valid_acc: 91.06, valid_micro_fscore: 60.3, valid_macro_fscore: 40.7, test_loss: 1.8017, test_acc: 21.27, test_micro_fscore: 8.6, test_macro_fscore: 15.22, time: 23.68 sec
[2022-06-21 07:55:17,714][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1578, train_acc: 94.83, train_micro_fscore: 82.47, train_macro_fscore: 54.18, valid_loss: 0.2993, valid_acc: 91.25, valid_micro_fscore: 61.09, valid_macro_fscore: 42.31, test_loss: 1.7637, test_acc: 33.17, test_micro_fscore: 23.57, test_macro_fscore: 18.97, time: 24.43 sec
[2022-06-21 07:55:49,815][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1529, train_acc: 94.94, train_micro_fscore: 83.05, train_macro_fscore: 55.85, valid_loss: 0.2886, valid_acc: 91.06, valid_micro_fscore: 61.23, valid_macro_fscore: 42.75, test_loss: 1.7081, test_acc: 35.82, test_micro_fscore: 27.3, test_macro_fscore: 20.09, time: 32.1 sec
